SnomedCTConceptId,Term
286009,Czechs
286009,Czechs (ethnic group)
286009,Czech (ethnic group)
286009,Czech
1451003,Greeks
1451003,Greeks (ethnic group)
2720008,Hututu
2720008,Hututu (ethnic group)
3818007,Senegalese
3818007,Senegalese (ethnic group)
7695005,Germans
7695005,Germans (ethnic group)
8124001,West Africans
8124001,West Africans (ethnic group)
9158000,Liberians
9158000,Liberians (ethnic group)
9533000,Dutch
9533000,Dutch (ethnic group)
10008004,Ewe
10008004,Ewe (ethnic group)
10117001,Finns
10117001,Finns (ethnic group)
11794009,Kenyans
11794009,Kenyans (ethnic group)
13440006,Tanganyikans
13440006,Tanganyikans (ethnic group)
14045001,Caucasian
14045001,"Caucasian, NOS"
14045001,Caucasoid
14045001,Caucasian (ethnic group)
14176005,Danes
14176005,Danes (ethnic group)
14470009,Tutsi
14470009,Tutsi (ethnic group)
14999008,Welsh
14999008,Welsh (ethnic group)
17095009,Norwegians
17095009,Norwegians (ethnic group)
18167009,Black African
18167009,"Black African, NOS"
18167009,Black African (ethnic group)
18583004,Estonians
18583004,Estonians (ethnic group)
19434008,French
19434008,French (ethnic group)
21868006,Madagascans
21868006,Madagascans (ethnic group)
23922002,Batutsi
23922002,Batutsi (ethnic group)
25804004,English
25804004,English (ethnic group)
28409002,Spaniards
28409002,Spaniards (ethnic group)
28409002,Spanish
28562006,Poles
28562006,Poles (ethnic group)
29343004,Bulgarians
29343004,Bulgarians (ethnic group)
29343004,Bulgarian (ethnic group)
29343004,Bulgarian
29343004,Bulgarian
31637002,Italians
31637002,Italians (ethnic group)
32045009,Georgians
32045009,Georgians (ethnic group)
36329002,Slovaks
36329002,Slovaks (ethnic group)
36329002,Slovak (ethnic group)
36329002,Slovak
36329002,Slovak
37474002,Ghanaians
37474002,Ghanaians (ethnic group)
37843006,Fulani
37843006,Fulani (ethnic group)
39007007,Black Jews
39007007,Black Jews (ethnic group)
39764005,Bantu
39764005,Bantu (ethnic group)
40182006,Gypsies
40182006,Gypsies (ethnic group)
40182006,Gypsy
41076003,Mozambiquans
41076003,Mozambiquans (ethnic group)
45465003,Basques
45465003,Basques (ethnic group)
46110004,Somalis
46110004,Somalis (ethnic group)
51750002,Hottentot
51750002,Hottentot (ethnic group)
52075006,Congolese
52075006,Congolese (ethnic group)
53460002,Serbs
53460002,Serbs (ethnic group)
56056003,Belgians
56056003,Belgians (ethnic group)
58047002,Barundi
58047002,Barundi (ethnic group)
59366001,Ibo
59366001,Ibo (ethnic group)
64693008,Hungarians
64693008,Hungarians (ethnic group)
64693008,Hungarian (ethnic group)
64693008,Hungarian
67439005,Msutu
67439005,Msutu (ethnic group)
68486007,Austrians
68486007,Austrians (ethnic group)
71176007,Pygmies
71176007,Pygmies (ethnic group)
72201005,Hobe
72201005,Hobe (ethnic group)
72248007,Kikuyu
72248007,Kikuyu (ethnic group)
72809004,Icelanders
72809004,Icelanders (ethnic group)
74165009,European race
74165009,Caucasian race
