SnomedCTConceptId,Term
90741000119107,Chronic kidney disease stage 3 due to type 1 diabetes mellitus
90741000119107,Chronic kidney disease stage 3 due to type 1 diabetes mellitus (disorder)
90741000119107,Chronic kidney disease stage 3 due to type I diabetes mellitus
90751000119109,Chronic kidney disease stage 4 due to type 1 diabetes mellitus
90751000119109,Chronic kidney disease stage 4 due to type 1 diabetes mellitus (disorder)
90751000119109,Chronic kidney disease stage 4 due to type I diabetes mellitus
90761000119106,Chronic kidney disease stage 5 due to type 1 diabetes mellitus (disorder)
90761000119106,Chronic kidney disease stage 5 due to type 1 diabetes mellitus
90761000119106,Chronic kidney disease stage 5 due to type I diabetes mellitus
96711000119105,Hypertensive heart AND chronic kidney disease stage 5
96711000119105,Hypertensive heart AND chronic kidney disease stage 5 (disorder)
96721000119103,Hypertensive heart AND chronic kidney disease stage 4
96721000119103,Hypertensive heart AND chronic kidney disease stage 4 (disorder)
96731000119100,Hypertensive heart AND chronic kidney disease stage 3
96731000119100,Hypertensive heart AND chronic kidney disease stage 3 (disorder)
129151000119102,Chronic kidney disease stage 4 due to hypertension
129151000119102,Chronic kidney disease stage 4 due to hypertension (disorder)
129161000119100,Chronic kidney disease stage 5 due to hypertension
129161000119100,Chronic kidney disease stage 5 due to hypertension (disorder)
129171000119106,Chronic kidney disease stage 3 due to hypertension
129171000119106,Chronic kidney disease stage 3 due to hypertension (disorder)
140101000119109,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus
140101000119109,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus (disorder)
140101000119109,Hypertension in chronic kidney disease stage 5 due to type II diabetes mellitus
140111000119107,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus (disorder)
140111000119107,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus
140111000119107,Hypertension in chronic kidney disease stage 4 due to type II diabetes mellitus
140121000119100,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus
140121000119100,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus (disorder)
140121000119100,Hypertension in chronic kidney disease stage 3 due to type II diabetes mellitus
153851000119106,Malignant hypertensive chronic kidney disease stage 5
153851000119106,Malignant hypertensive chronic kidney disease stage 5 (disorder)
200451000000101,Chronic kidney disease stage 3 (disorder)
200451000000101,Chronic kidney disease stage 3
200461000000103,Chronic kidney disease stage 4 (disorder)
200461000000103,Chronic kidney disease stage 4
