SnomedCTConceptId,Term
371054002,Type I diabetes mellitus with complication (disorder)
371054002,Type I diabetes mellitus with complication
371054002,Type 1 diabetes mellitus with complication
426875007,Latent autoimmune diabetes mellitus in adult (disorder)
426875007,Latent autoimmune diabetes mellitus in adult (LADA)
426875007,Latent autoimmune diabetes mellitus in adult
429094000,Dietary education for type I diabetes mellitus (procedure)
429094000,Dietary education for type I diabetes mellitus
429094000,Dietary education for type 1 diabetes mellitus
429094000,Dietary advice for type I diabetes
429094000,Dietary advice for type 1 diabetes
706894000,Retinopathy due to unstable diabetes mellitus type 1 (disorder)
706894000,Retinopathy due to unstable diabetes mellitus type 1
706894000,Retinopathy due to brittle type I diabetes mellitus
31321000119102,Diabetes mellitus type 1 without retinopathy (disorder)
31321000119102,Diabetes mellitus type 1 without retinopathy
50211000000103,Type I diabetes mellitus - poor control
50211000000103,Type I diabetes mellitus - poor control
71701000119105,Hypertension in chronic kidney disease due to type 1 diabetes mellitus
71701000119105,Hypertension in chronic kidney disease due to type 1 diabetes mellitus (disorder)
71701000119105,Hypertension in chronic kidney disease due to type I diabetes mellitus
72021000119109,Diabetic dermopathy due to type 1 diabetes mellitus
72021000119109,Diabetic dermopathy due to type 1 diabetes mellitus (disorder)
72021000119109,Dermopathy due to type 1 diabetes mellitus (disorder)
72021000119109,Dermopathy due to type 1 diabetes mellitus
78441000000102,Type 1 diabetes mellitus with ketoacidosis
78441000000102,Type 1 diabetes mellitus with ketoacidosis
82901000000101,Type I diabetes mellitus with gangrene
82901000000101,Type I diabetes mellitus with gangrene
87481000119109,Heel AND/OR midfoot ulcer due to type 1 diabetes mellitus
87481000119109,Heel AND/OR midfoot ulcer due to type 1 diabetes mellitus (disorder)
90741000119107,Chronic kidney disease stage 3 due to type 1 diabetes mellitus
90741000119107,Chronic kidney disease stage 3 due to type 1 diabetes mellitus (disorder)
90741000119107,Chronic kidney disease stage 3 due to type I diabetes mellitus
96441000119101,Chronic kidney disease due to type 1 diabetes mellitus
96441000119101,Chronic kidney disease due to type 1 diabetes mellitus (disorder)
96441000119101,Chronic kidney disease due to type I diabetes mellitus
109171000119104,Retinal oedema due to type 1 diabetes mellitus
109171000119104,Retinal edema due to type 1 diabetes mellitus
109171000119104,Retinal edema due to type 1 diabetes mellitus (disorder)
109171000119104,Retinal edema co-occurrent and due to type 1 diabetes mellitus (disorder)
109171000119104,Retinal edema with type 1 diabetes mellitus
109171000119104,Retinal oedema co-occurrent and due to type 1 diabetes mellitus
109171000119104,Retinal edema co-occurrent and due to type 1 diabetes mellitus
109171000119104,Retinal oedema with type 1 diabetes mellitus
137941000119106,Hyperlipidemia due to type 1 diabetes mellitus
137941000119106,Hyperlipidemia due to type 1 diabetes mellitus (disorder)
137941000119106,Hyperlipidaemia due to type 1 diabetes mellitus
338031000000100,Latent autoimmune diabetes mellitus in adult
338031000000100,Latent autoimmune diabetes mellitus in adult
368541000119101,Cheiropathy due to type 1 diabetes mellitus
368541000119101,Cheiroarthropathy due to diabetes mellitus type 1 (disorder)
368541000119101,Cheiroarthropathy due to diabetes mellitus type 1
772031000000104,History of diabetes mellitus type 1 (situation)
772031000000104,H/O: diabetes mellitus type 1
772031000000104,History of diabetes mellitus type I
772031000000104,History of diabetes mellitus type 1
1067201000000106,Eating disorder co-occurrent with diabetes mellitus type 1 (disorder)
1067201000000106,Eating disorder co-occurrent with diabetes mellitus type 1
1067201000000106,ED-DMT1 - Eating disorder-diabetes mellitus type 1
1067201000000106,Diabulimia
16697521000119104,Moderate nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder)
16697521000119104,Moderate nonproliferative retinopathy of both eyes due to diabetes mellitus type 1
16697521000119104,Moderate nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1
16697521000119104,Bilateral moderate nonproliferative retinopathy due to diabetes mellitus type 1
16745891000119105,Mild nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder)
16745891000119105,Mild nonproliferative retinopathy of left eye due to diabetes mellitus type 1
16747101000119101,Severe nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder)
16747101000119101,Severe nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1
16747101000119101,Severe nonproliferative diabetic retinopathy of bilateral eyes due to diabetes mellitus type 1
16747101000119101,Bilateral severe nonproliferative retinopathy of eyes due to diabetes mellitus type 1
16747101000119101,Severe nonproliferative retinopathy of both eyes due to diabetes mellitus type 1
16749781000119101,Proliferative retinopathy of bilateral eyes due to diabetes mellitus type 1
16749781000119101,Proliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder)
16749781000119101,Bilateral proliferative retinopathy of eyes due to diabetes mellitus type 1
16749781000119101,Proliferative retinopathy of both eyes due to diabetes mellitus type 1
190340004,"Diabetes mellitus, adult onset, with renal manifestation"
190340004,"Diabetes mellitus, adult onset, with renal manifestation (disorder)"
190357000,"Diabetes mellitus, adult with gangrene"
190357000,"Diabetes mellitus, adult with gangrene (disorder)"
190387006,Type 2 diabetes mellitus with neurological complications
190387006,Non-insulin-dependent diabetes mellitus with neurological complications
190387006,Type II diabetes mellitus with neurological complications
190387006,Type II diabetes mellitus with neurological complications (disorder)
190391001,Type 2 diabetes mellitus with retinopathy
190391001,Non-insulin-dependent diabetes mellitus with retinopathy
190391001,NIDDM - Non-insulin-dependent diabetes mellitus with retinopathy
190391001,Type II diabetes mellitus with retinopathy
190391001,Type II diabetes mellitus with retinopathy (disorder)
359638003,NIDDM in nonobese
359638003,NIDDM in nonobese (disorder)
359638003,Non-insulin dependent diabetes mellitus (NIDDM) in nonobese (disorder)
