SnomedCTConceptId,Term
26078007,Hypertension secondary to renal disease complicating AND/OR reason for care during childbirth
26078007,Hypertension secondary to renal disease complicating or reason for care during childbirth
26078007,Hypertension secondary to renal disease complicating AND/OR reason for care during childbirth (disorder)
152085006,Referral to hypertension clinic
152085006,Referral to hypertension clinic
152085006,Referral to hypertension clinic (procedure)
183856001,Referral to hypertension clinic
183856001,Referral to hypertension clinic (procedure)
308551004,Gestational hypertension
308551004,Gestational hypertension (disorder)
111411000119103,End stage renal disease due to hypertension (disorder)
111411000119103,End stage renal disease due to hypertension
111411000119103,ESRD (End stage renal disease) due to hypertension
766211000000109,Hypertension 9 month review (regime/therapy)
766211000000109,Hypertension 9 month review
23130000,Paroxysmal hypertension
23130000,Paroxysmal hypertension (disorder)
23130000,Episodic hypertension
18416000,Essential hypertension complicating AND/OR reason for care during childbirth
18416000,Essential hypertension complicating or reason for care during childbirth
18416000,Essential hypertension complicating AND/OR reason for care during childbirth (disorder)
10725009,Benign hypertension
10725009,Benign hypertension (disorder)
8218002,Chronic hypertension complicating AND/OR reason for care during childbirth
8218002,Chronic hypertension complicating or reason for care during childbirth
8218002,Chronic hypertension complicating AND/OR reason for care during childbirth (disorder)
1201005,Benign essential hypertension
1201005,Benign essential hypertension (disorder)
1083101000000106,Hypertension monitoring invitation email
1083101000000106,Hypertension monitoring invitation email (procedure)
1066951000000101,Hypertension monitoring short message service text message first invitation (procedure)
1066951000000101,Hypertension monitoring SMS (short message service) text message first invitation
938641000000109,Borderline hypertension monitoring third letter 
938641000000109,Borderline hypertension monitoring third letter
938581000000102,Borderline hypertension monitoring first letter 
938581000000102,Borderline hypertension monitoring first letter
908641000000104,Stage 1 hypertension (NICE - National Institute for Health and Clinical Excellence 2011) without evidence of end organ damage 
908641000000104,Stage 1 hypertension (NICE - National Institute for Health and Clinical Excellence 2011) without evidence of end organ damage
846371000000103,Stage 2 hypertension (National Institute for Health and Clinical Excellence 2011) (disorder)
846371000000103,Stage 2 hypertension (NICE - National Institute for Health and Clinical Excellence 2011)
846371000000103,Stage 2 hypertension
843841000000109,Severe hypertension (National Institute for Health and Clinical Excellence 2011) (disorder)
843841000000109,Severe hypertension (NICE - National Institute for Health and Clinical Excellence 2011)
843841000000109,Severe hypertension
812031000000108,Hypertension self-management plan agreed 
812031000000108,Hypertension self-management plan agreed
692791000000102,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium unspecified"
692791000000102,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium unspecified (disorder)"
662181000000100,Hypertensive renal disease NOS
662181000000100,Hypertensive renal disease NOS (disorder)
608991000000100,"Renal hypertension complicating pregnancy, childbirth and the puerperium unspecified"
608991000000100,"Renal hypertension complicating pregnancy, childbirth and the puerperium unspecified (disorder)"
606201000000101,"Renal hypertension complicating pregnancy, childbirth and the puerperium NOS (disorder)"
606201000000101,"Renal hypertension complicating pregnancy, childbirth and the puerperium NOS"
579611000000106,"Unspecified hypertension complicating pregnancy, childbirth and the puerperium NOS"
579611000000106,"Unspecified hypertension complicating pregnancy, childbirth and the puerperium NOS (disorder)"
471521000000108,[X]Hypertensive diseases (disorder)
471521000000108,[X]Hypertensive diseases
292601000000100,Diastolic hypertension
292601000000100,Diastolic hypertension
285861000119100,Malignant hypertensive chronic kidney disease stage 2
285861000119100,Malignant hypertensive chronic kidney disease stage 2 (disorder)
285011000119108,Chronic kidney disease stage 5 due to benign hypertension (disorder)
285011000119108,Chronic kidney disease stage 5 due to benign hypertension
284971000119100,Chronic kidney disease stage 1 due to benign hypertension
284971000119100,Chronic kidney disease stage 1 due to benign hypertension (disorder)
272781000000108,High cost hypertension drugs 
272781000000108,High cost hypertension drugs
220901000000101,High cost hypertension drug therapy - OPCS Classification of Interventions and Procedures (procedure)
220901000000101,High cost hypertension drugs
220901000000101,High cost hypertension drugs (procedure)
140121000119100,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus
140121000119100,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus (disorder)
140121000119100,Hypertension in chronic kidney disease stage 3 due to type II diabetes mellitus
129181000119109,Chronic kidney disease stage 2 due to hypertension
129181000119109,Chronic kidney disease stage 2 due to hypertension (disorder)
128001000119105,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus (disorder)
128001000119105,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus
104861000000105,Patient on maximal tolerated antihypertensive therapy
104861000000105,Patient on maximal tolerated antihypertensive therapy
96721000119103,Hypertensive heart AND chronic kidney disease stage 4
96721000119103,Hypertensive heart AND chronic kidney disease stage 4 (disorder)
80961000000101,Hypertension six month review
80961000000101,Hypertension six month review
71701000119105,Hypertension in chronic kidney disease due to type 1 diabetes mellitus
71701000119105,Hypertension in chronic kidney disease due to type 1 diabetes mellitus (disorder)
71701000119105,Hypertension in chronic kidney disease due to type I diabetes mellitus
48311000000108,Hypertension annual review
48311000000108,Hypertension annual review
15781000119107,Hypertensive heart AND chronic kidney disease with congestive heart failure
15781000119107,Hypertensive heart AND chronic kidney disease with congestive heart failure (disorder)
766937004,Pseudohyperaldosteronism type 2
766937004,Early-onset hypertension with exacerbation in pregnancy
766937004,Hypertension due to gain-of-function mutation in mineralocorticoid receptor (disorder)
766937004,Hypertension due to gain-of-function mutation in mineralocorticoid receptor
715280009,Telehealth hypertension monitoring (regime/therapy)
715280009,Telehealth hypertension monitoring
704667004,Hypertension concurrent and due to end stage renal disease on dialysis (disorder)
704667004,Hypertension concurrent and due to end stage renal disease on dialysis
698640000,Hypertension in the puerperium with pulmonary oedema
698640000,Hypertension in the puerperium with pulmonary edema
698640000,Hypertension in the puerperium with pulmonary edema (disorder)
473392002,Hypertensive nephrosclerosis (disorder)
473392002,Hypertensive nephrosclerosis
401118009,Hypertension annual review (procedure)
401118009,Hypertension annual review
395050009,Hypertension monitoring not required (finding)
395050009,Hypertension monitoring not required
302192008,On treatment for hypertension
302192008,On treatment for hypertension (procedure)
302192008,On treatment for hypertension (regime/therapy)
270440008,Hypertension monitoring check done
270440008,Hypertension monitored
270440008,Hypertension monitoring check done (finding)
199015006,"Unspecified hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication"
199015006,"Unspecified hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication (disorder)"
199008003,"Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium"
199008003,"Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium (disorder)"
199004001,Pre-eclampsia or eclampsia with pre-existing hypertension NOS
199004001,Pre-eclampsia or eclampsia with pre-existing hypertension NOS (disorder)
198999008,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered
198999008,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered (disorder)
198968007,Transient hypertension of pregnancy with postnatal complication
198968007,Transient hypertension of pregnancy with postnatal complication (disorder)
198964009,Transient hypertension of pregnancy unspecified
198964009,Transient hypertension of pregnancy unspecified (disorder)
198959005,"Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication"
198959005,"Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication (disorder)"
198955004,"Renal hypertension complicating pregnancy, childbirth and the puerperium NOS"
198955004,"Renal hypertension complicating pregnancy, childbirth and the puerperium NOS (disorder)"
198951008,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered"
198951008,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered (disorder)"
198947006,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication"
198947006,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication (disorder)"
198943005,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium unspecified"
198943005,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium unspecified (disorder)"
195538006,[X]Other secondary hypertension
195538006,[X]Other secondary hypertension (disorder)
194793008,Other specified hypertensive disease
194793008,Other specified hypertensive disease (disorder)
194788005,Hypertension secondary to endocrine disorders
194788005,Hypertension secondary to endocrine disorders (disorder)
194788005,Hypertension secondary to endocrine disorder (disorder)
194788005,Hypertension secondary to endocrine disorder
194788005,Endocrine hypertension
194783001,Secondary malignant renovascular hypertension
194783001,Secondary malignant renovascular hypertension (disorder)
194783001,Malignant secondary renovascular hypertension
194779001,Hypertensive heart and renal disease with (congestive) heart failure
194779001,Hypertensive heart and renal disease with (congestive) heart failure (disorder)
194769003,Hypertensive heart disease NOS
194769003,Hypertensive heart disease NOS (disorder)
193358006,Hypertensive retinopathy
193358006,Hypertensive retinopathy
193358006,Hypertensive retinopathy (disorder)
185722000,Hypertension monitoring verbal invite
185722000,Hypertension monitoring verbal invite (procedure)
185718005,Hypertension monitoring offer default
185718005,Hypertension monitoring offer default (finding)
170587004,Hypertensive treatm.changed
170587004,Hypertensive treatm.changed (procedure)
170587004,Hypertensive treatm.changed (regime/therapy)
170587004,Hypertensive treatment changed (situation)
170587004,Hypertensive treatment changed
170574005,Borderline hyperten:yearly obs
170574005,Borderline hyperten:yearly obs (procedure)
170574005,Borderline hyperten:yearly obs (regime/therapy)
170574005,Yearly observation of borderline hypertension (regime/therapy)
170574005,Yearly observation of borderline hypertension
156106005,Hypertension of pregnancy (& [pre-eclampsia])
156106005,Pre-eclampsia
156106005,Hypertension of preg.
156106005,Pre-eclampsia - PET
156106005,Hypertension of pregnancy
156106005,Toxemia of pregnancy
156106005,Toxaemia of pregnancy
156106005,Hypertension of pregnancy (& [pre-eclampsia])
156106005,Hypertension of pregnancy (& [pre-eclampsia]) (disorder)
147840006,Hypertensive treatm.changed
147840006,Hypertensive treatm.changed
147840006,Hypertensive treatm.changed (regime/therapy)
147828006,Borderline hyperten:yearly obs
147828006,Borderline hyperten:yearly obs
147828006,Borderline hyperten:yearly obs (finding)
86234004,Hypertensive heart AND renal disease
86234004,"Hypertensive heart and renal disease, NOS"
86234004,"Cardiorenal disease, NOS"
86234004,Cardiorenal disease
86234004,Hypertensive heart AND renal disease (disorder)
81626002,Malignant hypertension in obstetric context
81626002,"Malignant hypertension in obstetric context, NOS"
