SnomedCTConceptId,Term
160601007,Non-smoker
160601007,Never smoked tobacco
160601007,Non-smoker (& [never smoked tobacco])
160601007,Non-smoker (& [never smoked tobacco])
160601007,Non-smoker (& [never smoked tobacco]) (finding)
266919005,Never smoked
266919005,Never smoked tobacco
266919005,Never smoked tobacco (life style)
266919005,Never smoked tobacco (finding)
1092131000000107,Ex-trivial smoker (<1/day)
1092131000000107,Ex-trivial smoker (<1/day) (finding)
1092111000000104,Ex-light smoker (1-9/day)
1092111000000104,Ex-light smoker (1-9/day) (finding)
1092091000000109,Ex-moderate smoker (10-19/day)
1092091000000109,Ex-moderate smoker (10-19/day) (finding)
1092071000000105,Ex-heavy smoker (20-39/day)
1092071000000105,Ex-heavy smoker (20-39/day) (finding)
1092041000000104,Ex-very heavy smoker (40+/day)
1092041000000104,Ex-very heavy smoker (40+/day) (finding)
1092031000000108,Ex-smoker amount unknown
1092031000000108,Ex-smoker amount unknown (finding)
766621000000100,Smoker before confirmation of pregnancy (finding)
766621000000100,Smoker before confirmation of pregnancy
766611000000106,Stopped smoking before pregnancy (finding)
766611000000106,Stopped smoking before pregnancy
766581000000100,Stopped smoking during pregnancy (finding)
766581000000100,Stopped smoking during pregnancy
517211000000106,Recently stopped smoking (finding)
517211000000106,Recently stopped smoking
198271000000106,[V]Personal history of tobacco abuse (context-dependent category)
198271000000106,[V]Personal history of tobacco abuse
198271000000106,[V]Personal history of tobacco abuse (situation)
48031000119106,Ex-smoker for more than 1 year (finding)
48031000119106,Ex-smoker for more than 1 year
449369001,Stopped smoking before pregnancy (finding)
449369001,Stopped smoking before pregnancy
449368009,Stopped smoking during pregnancy (finding)
449368009,Stopped smoking during pregnancy
449345000,Smoked before confirmation of pregnancy (finding)
449345000,Smoked before confirmation of pregnancy
449345000,Smoker before confirmation of pregnancy
266928006,Ex-cigarette smoker amount unknown
266928006,Ex-cigarette smoker amount unknown (life style)
266928006,Ex-cigarette smoker amount unknown (finding)
266925009,Ex-very heavy cigarette smoker (40+/day)
266925009,Ex-very heavy cigarette smoker (40+/day) (life style)
266925009,Ex-very heavy cigarette smoker (40+/day) (finding)
266924008,Ex-heavy cigarette smoker (20-39/day)
266924008,Ex-heavy cigarette smoker (20-39/day) (life style)
266924008,Ex-heavy cigarette smoker (20-39/day) (finding)
266923002,Ex-moderate cigarette smoker (10-19/day)
266923002,Ex-moderate cigarette smoker (10-19/day) (life style)
266923002,Ex-moderate cigarette smoker (10-19/day) (finding)
266922007,Ex-light cigarette smoker (1-9/day)
266922007,Ex-light cigarette smoker (1-9/day) (life style)
266922007,Ex-light cigarette smoker (1-9/day) (finding)
266921000,Ex-trivial cigarette smoker (<1/day)
266921000,Ex-trivial cigarette smoker (<1/day) (life style)
266921000,Ex-trivial cigarette smoker (<1/day) (finding)
228486009,Time since stopped smoking
228486009,Time since stopped smoking (observable entity)
160625004,Date ceased smoking
160625004,Date ceased smoking (observable entity)
160621008,Ex-cigar smoker
160621008,Ex-cigar smoker (life style)
160621008,Ex-cigar smoker (finding)
160620009,Ex-pipe smoker
160620009,Ex-pipe smoker (life style)
160620009,Ex-pipe smoker (finding)
160617001,Stopped smoking
160617001,Stopped smoking (life style)
160617001,Stopped smoking (finding)
160615009,Ex-smoker - amount unknown
160615009,Ex-smoker - amount unknown (life style)
160615009,Ex-smoker - amount unknown (finding)
160611000,Ex-very heavy smoker (40+/day)
160611000,Ex-very heavy smoker (40+/day) (life style)
160611000,Ex-very heavy smoker (40+/day) (finding)
160610004,Ex-heavy smoker (20-39/day)
160610004,Ex-heavy smoker (20-39/day) (life style)
160610004,Ex-heavy smoker (20-39/day) (finding)
160609009,Ex-moderate smoker (10-19/day)
160609009,Ex-moderate smoker (10-19/day) (life style)
160609009,Ex-moderate smoker (10-19/day) (finding)
160608001,Ex-light smoker (1-9/day)
160608001,Ex-light smoker (1-9/day) (life style)
160608001,Ex-light smoker (1-9/day) (finding)
160607006,Ex-trivial smoker (<1/day)
160607006,Ex-trivial smoker (<1/day) (life style)
160607006,Ex-trivial smoker (<1/day) (finding)
766621000000100,Smoker before confirmation of pregnancy (finding)
766621000000100,Smoker before confirmation of pregnancy
449345000,Smoked before confirmation of pregnancy (finding)
449345000,Smoked before confirmation of pregnancy
449345000,Smoker before confirmation of pregnancy
266929003,Smoking started - finding
266929003,Smoking started (life style)
266929003,Smoking started (finding)
266929003,Smoking started
266929003,Smoking started
266927001,Tobacco smoking consumption unknown
266927001,Tobacco smoking consumption unknown (finding)
266920004,Occasional smoker
266920004,Occasional cigarette smoker (less than one cigarette/day)
266920004,Trivial cigarette smoker (less than one cigarette/day)
266920004,Trivial cigarette smoker (less than one cigarette/day) (life style)
266920004,Trivial cigarette smoker (less than one cigarette/day) (finding)
266918002,Tobacco smoking consumption
266918002,Tobacco smoking consumption (observable entity)
266918002,Amount and type of tobacco smoked
160627007,Tobacco consumption NOS
160627007,Tobacco consumption NOS (observable entity)
160619003,Rolls own cigarettes
160619003,Rolls own cigarettes (finding)
160616005,Trying to give up smoking
160616005,Trying to give up smoking (finding)
160613002,Admitted tobacco cons untrue ?
160613002,Admitted tobacco cons untrue ? (finding)
160613002,Admitted tobacco consumption possibly untrue (finding)
160613002,Admitted tobacco consumption possibly untrue
160612007,Keeps trying to stop smoking
160612007,Keeps trying to stop smoking (finding)
160606002,Very heavy cigarette smoker (40+ cigs/day)
160606002,Very heavy cigarette smoker (40+ cigs/day) (life style)
160606002,Very heavy cigarette smoker (40+ cigs/day) (finding)
160605003,Heavy cigarette smoker (20-39 cigs/day)
160605003,Heavy cigarette smoker (20-39 cigs/day) (life style)
160605003,Heavy cigarette smoker (20-39 cigs/day) (finding)
160604004,Moderate cigarette smoker (10-19 cigs/day)
160604004,Moderate cigarette smoker (10-19 cigs/day) (life style)
160604004,Moderate cigarette smoker (10-19 cigs/day) (finding)
160603005,Light cigarette smoker (1-9 cigs/day)
160603005,Light cigarette smoker (1-9 cigs/day) (life style)
160603005,Light cigarette smoker (1-9 cigs/day) (finding)
221000119102,Never smoked any substance
221000119102,Never smoked any substance (finding)
137982008,Never smoked tobacco
137982008,Non-smoker
137982008,Non-smoker (& [never smoked tobacco])
137982008,Non-smoker (& [never smoked tobacco])
137982008,Non-smoker (& [never smoked tobacco]) (finding)
10998291000119107,History of smoking
10998291000119107,History of smoking (situation)
707381000000107,Recently stopped smoking
707381000000107,Recently stopped smoking
492211000000104,Ex-rolls own cigarettes 
492211000000104,Ex-rolls own cigarettes
492201000000101,Ex-rolls own cigarettes 
492201000000101,Ex-rolls own cigarettes
492191000000103,Ex roll-up cigarette smoker (finding)
492191000000103,Ex roll-up cigarette smoker
487391000000101,Ex-cigarette smoker 
487391000000101,Ex-cigarette smoker
485971000000109,Ex-cigarette smoker 
485971000000109,Ex-cigarette smoker
213191000000105,[V]Personal history of tobacco abuse
213191000000105,[V]Personal history of tobacco abuse
1221000175102,Age at smoking cessation (observable entity)
1221000175102,Age at smoking cessation
735128000,Ex-smoker for less than 1 year (finding)
735128000,Ex-smoker for less than 1 year
735112005,Date ceased using moist tobacco (observable entity)
735112005,Date ceased using moist tobacco
360900008,Aggressive ex-smoker
360900008,Aggressive ex-smoker (life style)
360900008,Aggressive ex-smoker (finding)
360890004,Intolerant ex-smoker
360890004,Intolerant ex-smoker (life style)
360890004,Intolerant ex-smoker (finding)
281018007,Ex-cigarette smoker
281018007,Ex-cigarette smoker (life style)
281018007,Ex-cigarette smoker (finding)
53896009,Tolerant ex-smoker
53896009,Tolerant ex-smoker (life style)
53896009,Tolerant ex-smoker (finding)
8517006,Former smoker
8517006,Ex-smoker
8517006,Cessation of smoking
8517006,Ex-smoker (life style)
8517006,Ex-smoker (finding)
1094321000000100,Referral for brief intervention for smoking cessation
1094321000000100,Referral for brief intervention for smoking cessation (procedure)
1087441000000106,Smoking cessation programme declined
1087441000000106,Smoking cessation programme declined (situation)
1084051000000108,Occasional tobacco smoker (finding)
1084051000000108,Occasional tobacco smoker
1084051000000108,Occasional smoker
966981000000101,Varenicline smoking cessation therapy declined 
966981000000101,Varenicline smoking cessation therapy declined
966971000000103,Varenicline smoking cessation therapy declined (situation)
966971000000103,Varenicline smoking cessation therapy declined
871671000000104,Referral to smoking cessation service 
871671000000104,Referral to smoking cessation service
871661000000106,Referral to smoking cessation service (procedure)
871661000000106,Referral to smoking cessation service
871651000000108,Referral to smoking cessation service declined 
871651000000108,Referral to smoking cessation service declined
871641000000105,Referral to smoking cessation service declined (situation)
871641000000105,Referral to smoking cessation service declined
864091000000103,Number of previous attempts to stop smoking (observable entity)
864091000000103,Number of previous attempts to stop smoking
836011000000106,Waterpipe tobacco consumption 
836011000000106,Waterpipe tobacco consumption
836001000000109,Waterpipe tobacco consumption (observable entity)
836001000000109,Waterpipe tobacco consumption
834711000000102,Smoking cessation programme declined
834711000000102,Smoking cessation programme declined
822601000000102,Smoking cessation drug therapy declined 
822601000000102,Smoking cessation drug therapy declined
822591000000108,Smoking cessation drug therapy declined (situation)
822591000000108,Smoking cessation drug therapy declined
780901000000101,Referral for smoking cessation service offered
780901000000101,Referral for smoking cessation service offered
767641000000109,Referral for smoking cessation service offered (finding)
767641000000109,Referral for smoking cessation service offered
726841000000101,Failed attempt to stop smoking 
