SnomedCTConceptId,Term
7713009,Intrapontine hemorrhage
7713009,Pontine hemorrhage
7713009,Intrapontine haemorrhage
7713009,Pontine haemorrhage
7713009,Intrapontine hemorrhage (disorder)
73020009,Cerebral hemorrhage
73020009,Hemorrhagic cerebrum
73020009,Cerebral hemisphere hemorrhage
73020009,Cerebral hemisphere haemorrhage
73020009,Haemorrhagic cerebrum
73020009,Cerebral haemorrhage
73020009,Cerebral hemisphere hemorrhage (disorder)
155390007,Subarachnoid hemorrhage
155390007,Subarachnoid haemorrhage
155390007,Subarachnoid haemorrhage
155390007,Subarachnoid haemorrhage (disorder)
195241001,Sequelae of intracerebral haemorrhage
195241001,Sequelae of intracerebral hemorrhage
195241001,Sequelae of intracerebral hemorrhage (disorder)
195610007,"[X]Subarachnoid haemorrhage from intracranial artery, unspecified"
195610007,"[X]Subarachnoid hemorrhage from intracranial artery, unspecified"
195610007,"[X]Subarachnoid hemorrhage from intracranial artery, unspecified (disorder)"
428561000,Occipital subdural hematoma (disorder)
428561000,Occipital subdural hematoma
428561000,Occipital subdural haematoma
703220002,Hereditary cystatin C amyloid angiopathy (disorder)
703220002,Hereditary cystatin C amyloid angiopathy
140701000119108,History of hemorrhagic stroke with hemiparesis (situation)
140701000119108,History of haemorrhagic stroke with hemiparesis
140701000119108,History of hemorrhagic stroke with hemiparesis
141811000119106,History of hemorrhagic cerebrovascular accident with residual deficit (situation)
141811000119106,History of hemorrhagic cerebrovascular accident with residual deficit
141811000119106,History of haemorrhagic cerebrovascular accident with residual deficit
141811000119106,History of hemorrhagic stroke with residual deficit
141811000119106,History of haemorrhagic stroke with residual deficit
291681000119108,Dysphagia due to and following non-traumatic subarachnoid hemorrhage (disorder)
291681000119108,Dysphagia as sequela of non-traumatic subarachnoid hemorrhage
291681000119108,Dysphagia as late effect of spontaneous subarachnoid hemorrhage
291681000119108,Dysphagia as sequela of non-traumatic subarachnoid haemorrhage
291681000119108,Dysphagia as late effect of spontaneous subarachnoid haemorrhage
291681000119108,Dysphagia due to and following non-traumatic subarachnoid hemorrhage
291681000119108,Dysphagia due to and following non-traumatic subarachnoid haemorrhage
402531000000107,"[X]Intracerebral haemorrhage in hemisphere, unspecified (disorder)"
402531000000107,"[X]Intracerebral hemorrhage in hemisphere, unspecified"
402531000000107,"[X]Intracerebral haemorrhage in hemisphere, unspecified"
402531000000107,"[X]Intracerebral haemorrhage in hemisphere, unspecified"
467401000000101,"[X]Subarachnoid haemorrhage from intracranial artery, unspecified (disorder)"
467401000000101,"[X]Subarachnoid haemorrhage from intracranial artery, unspecified"
467401000000101,"[X]Subarachnoid hemorrhage from intracranial artery, unspecified"
672571000119109,Cognitive deficit due to and following hemorrhagic cerebrovascular accident (disorder)
672571000119109,Cognitive deficit due to and following hemorrhagic cerebrovascular accident
672571000119109,Cognitive deficit due to and following haemorrhagic cerebrovascular accident
672571000119109,Cognitive deficit as late effect of hemorrhagic stroke
672571000119109,Cognitive deficit as sequela of hemorrhagic cerebrovascular accident
672571000119109,Cognitive deficit as late effect of haemorrhagic stroke
672571000119109,Cognitive deficit as sequela of haemorrhagic cerebrovascular accident
1078001000000105,Haemorrhagic stroke
1078001000000105,Haemorrhagic stroke (disorder)
195190007,Cerebral infarction due to embolism of cerebral arteries
195190007,Cerebral infarction due to embolism of cerebral arteries (disorder)
195230003,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic"
195230003,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic (disorder)"
230693009,Anterior cerebral circulation infarction
230693009,Anterior cerebral circulation infarction (disorder)
230701008,Pure sensorimotor lacunar infarction
230701008,Pure sensorimotor lacunar infarction (disorder)
237701005,Pituitary apoplexy
237701005,Pituitary apoplexy (disorder)
734961002,Embolus of left posterior cerebral artery (disorder)
734961002,Embolus of left posterior cerebral artery
34191000119104,Cerebral infarction due to vertebral artery occlusion
34191000119104,Cerebral infarction due to vertebral artery occlusion (disorder)
125081000119106,Cerebral infarction due to occlusion of precerebral artery
125081000119106,Cerebral infarction due to occlusion of precerebral artery (disorder)
141831000119101,History of embolic stroke with deficits
141831000119101,History of embolic stroke with deficits (situation)
329371000119101,Cerebrovascular accident due to occlusion of left middle cerebral artery by embolus (disorder)
329371000119101,Cerebrovascular accident due to occlusion of left middle cerebral artery by embolus
329461000119102,Left hemispheric cerebellar artery embolism with stroke
329461000119102,Cerebrovascular accident due to occlusion of left cerebellar artery by embolus
329461000119102,Cerebrovascular accident due to occlusion of left cerebellar artery by embolus (disorder)
330421000119102,Lacunar ataxic hemiparesis of right nondominant side (disorder)
330421000119102,Lacunar ataxic hemiparesis of right nondominant side
632261000000107,Brainstem infarction NOS (disorder)
632261000000107,Brainstem infarction NOS
672521000119108,Dysphasia due to and following ischemic cerebrovascular accident (disorder)
672521000119108,Dysphasia due to and following ischemic cerebrovascular accident
672521000119108,Dysphasia due to and following ischaemic cerebrovascular accident
672521000119108,Dysphasia as late effect of ischemic stroke
672521000119108,Dysphasia as sequela of ischemic cerebrovascular accident
672521000119108,Dysphasia as late effect of ischaemic stroke
672521000119108,Dysphasia as sequela of ischaemic cerebrovascular accident
674111000119100,Ataxia due to and following ischemic cerebrovascular accident
674111000119100,Ataxia due to and following ischaemic stroke
674111000119100,Ataxia due to and following ischemic stroke
674111000119100,Ataxia due to and following ischaemic cerebrovascular accident
674111000119100,Ataxia due to and following ischemic cerebrovascular accident (disorder)
674111000119100,Ataxia as late effect of ischemic cerebrovascular accident
674111000119100,Ataxia as late effect of ischaemic cerebrovascular accident
674401000119108,Speech and language deficit due to and following ischemic cerebrovascular accident (disorder)
674401000119108,Speech and language deficit as sequela of ischemic cerebrovascular accident
674401000119108,Speech and language deficit as late effect of ischemic stroke
674401000119108,Speech and language deficit due to and following ischemic cerebrovascular accident
674401000119108,Speech and language deficit due to and following ischaemic cerebrovascular accident
674401000119108,Speech and language deficit as sequela of ischaemic cerebrovascular accident
674401000119108,Speech and language deficit as late effect of ischaemic stroke
152148641000119104,Cerebrovascular accident due to embolism of bilateral carotid arteries (disorder)
152148641000119104,Cerebrovascular accident due to embolism of both carotid arteries
152148641000119104,Cerebrovascular accident due to embolism of bilateral carotid arteries
152148641000119104,Stroke due to embolism of bilateral carotid arteries
384430101000119103,Stroke due to embolism of right carotid artery
384430101000119103,Cerebrovascular accident due to embolism of right carotid artery
384430101000119103,Cerebrovascular accident due to embolism of right carotid artery (disorder)
732330391000119107,Cerebrovascular accident due to embolism of bilateral vertebral arteries (disorder)
732330391000119107,Cerebrovascular accident due to embolism of bilateral vertebral arteries
732330391000119107,Stroke due to embolism of bilateral vertebral arteries
732330391000119107,Cerebrovascular accident due to embolism of both vertebral arteries
806161651000119106,Stroke due to embolism of right vertebral artery
806161651000119106,Cerebrovascular accident due to embolism of right vertebral artery (disorder)
806161651000119106,Cerebrovascular accident due to embolism of right vertebral artery
957319791000119104,Cerebrovascular accident due to thrombosis of left cerebellar artery
957319791000119104,Stroke due to thrombosis of left cerebellar artery
957319791000119104,Cerebrovascular accident due to thrombosis of left cerebellar artery (disorder)
16896891000119106,History of cerebrovascular accident due to ischemia (situation)
16896891000119106,History of ischaemic cerebrovascular accident
16896891000119106,History of cerebrovascular accident due to ischaemia
16896891000119106,History of ischemic cerebrovascular accident
16896891000119106,History of cerebrovascular accident due to ischemia
16896891000119106,History of ischemic stroke
16896891000119106,History of ischaemic stroke
