SnomedCTConceptId,Term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318944005,Product containing only imidapril hydrochloride 10 mg/1 each oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318944005,Product containing precisely imidapril hydrochloride 10 milligram/1 each conventional release oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318944005,Product containing precisely imidapril hydrochloride 10 milligram/1 each conventional release oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318944005,Imidapril 10mg tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318975001,Trandolapril+verapamil hydrochloride 2mg/180mg m/r capsule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318975001,Trandolapril+verapamil hydrochloride 2mg/180mg m/r capsule (substance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318975001,Trandolapril+verapamil hydrochloride 2mg/180mg m/r capsule (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318975001,Verapamil 180mg modified-release / Trandolapril 2mg capsules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374667004,Perindopril erbumine 8mg tablet (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374667004,Perindopril erbumine 8mg tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374667004,Product containing perindopril erbumine 8 mg/1 each oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374667004,Product containing perindopril erbumine 8 mg/1 each oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374667004,Perindopril erbumine 8 mg oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374667004,Product containing only perindopril erbumine 8 mg/1 each oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374667004,Product containing only perindopril erbumine 8 mg/1 each oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374667004,Product containing precisely perindopril erbumine 8 milligram/1 each conventional release oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374667004,Product containing precisely perindopril erbumine 8 milligram/1 each conventional release oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374667004,Perindopril 8mg tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374667004,Perindopril erbumine 8mg tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408040007,Ramipril 1.25mg tablet (product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408040007,Ramipril 1.25mg tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408040007,Product containing ramipril 1.25 mg/1 each oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408040007,Product containing ramipril 1.25 mg/1 each oral tablet (clinical drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408040007,Ramipril 1.25 mg oral tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
