SnomedCTConceptId,Term
89711000001108,Prazosin 500microgram tablets (A A H Pharmaceuticals Ltd) (product)
89711000001108,Prazosin 500microgram tablets (A A H Pharmaceuticals Ltd)
150911000001104,Hypovase 2mg tablets (Pfizer Ltd) (product)
150911000001104,Hypovase 2mg tablets (Pfizer Ltd)
525011000001104,Doxazosin 4mg tablets (IVAX Pharmaceuticals UK Ltd) (product)
525011000001104,Doxazosin 4mg tablets (IVAX Pharmaceuticals UK Ltd)
603711000001100,Prazosin 2mg tablets (A A H Pharmaceuticals Ltd) (product)
603711000001100,Prazosin 2mg tablets (A A H Pharmaceuticals Ltd)
674011000001107,Doxazosin 2mg tablets (Viatris UK Healthcare Ltd)
674011000001107,Doxazosin 2mg tablets (Viatris UK Healthcare Ltd) (product)
674011000001107,Doxazosin 2mg tablets (Generics (UK) Ltd) (product)
674011000001107,Doxazosin 2mg tablets (Generics (UK) Ltd)
674011000001107,Doxazosin 2mg tablets (Mylan Ltd)
674011000001107,Doxazosin 2mg tablets (Mylan)
3697011000001101,Terazosin 2mg tablets (Zentiva Pharma UK Ltd)
3697011000001101,Terazosin 2mg tablets (Zentiva Pharma UK Ltd) (product)
3697011000001101,Terazosin 2mg tablets (Sterwin Medicines) (product)
3697011000001101,Terazosin 2mg tablets (Sterwin Medicines)
3697011000001101,Terazosin 2mg tablets (Winthrop Pharmaceuticals UK Ltd)
3697011000001101,Terazosin 2mg tablets (Zentiva)
4576811000001106,Terazosin 2mg tablets (IVAX Pharmaceuticals UK Ltd) (product)
4576811000001106,Terazosin 2mg tablets (IVAX Pharmaceuticals UK Ltd)
5467311000001106,Terazosin 2mg tablets (PI) (Dowelhurst Ltd) (product)
5467311000001106,Terazosin 2mg tablets (PI) (Dowelhurst Ltd)
5467311000001106,Terazosin 2mg tablets (Dowelhurst Ltd)
8458411000001104,Doxazosin 16mg/5ml oral suspension (Special Order) (product)
8458411000001104,Doxazosin 16mg/5ml oral suspension (Special Order)
8671911000001102,Prazosin 2mg/5ml oral suspension (product)
8671911000001102,Prazosin 2mg/5ml oral suspension
10292711000001103,Terazosin 5mg tablets (Focus Pharmaceuticals Ltd) (product)
10292711000001103,Terazosin 5mg tablets (Focus Pharmaceuticals Ltd)
10403011000001107,Doxazosin 2mg tablets (Arrow Generics Ltd) (product)
10403011000001107,Doxazosin 2mg tablets (Arrow Generics Ltd)
10413211000001104,Terazosin 10mg tablets (Arrow Generics Ltd) (product)
10413211000001104,Terazosin 10mg tablets (Arrow Generics Ltd)
11554911000001102,Doxazosin 4mg tablets (Dexcel-Pharma Ltd) (product)
11554911000001102,Doxazosin 4mg tablets (Dexcel-Pharma Ltd)
14013011000001104,Doxazosin 4mg capsules (product)
14013011000001104,Doxazosin 4mg capsules
15083211000001104,Doxazosin 4mg tablets (Sigma Pharmaceuticals Plc) (product)
15083211000001104,Doxazosin 4mg tablets (Sigma Pharmaceuticals Plc)
15229611000001103,Terazosin 5mg tablets (Sigma Pharmaceuticals Plc) (product)
15229611000001103,Terazosin 5mg tablets (Sigma Pharmaceuticals Plc)
16159711000001109,Doralese Tiltab 20mg tablets (Lexon (UK) Ltd) (product)
16159711000001109,Doralese Tiltab 20mg tablets (Lexon (UK) Ltd)
16562511000001105,Doralese Tiltab 20mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16562511000001105,Doralese Tiltab 20mg tablets (Mawdsley-Brooks & Company Ltd)
17338211000001104,Larbex XL 4mg tablets (Teva UK Ltd) (product)
17338211000001104,Larbex XL 4mg tablets (Teva UK Ltd)
17933011000001109,Indoramin 20mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17933011000001109,Indoramin 20mg tablets (Phoenix Healthcare Distribution Ltd)
18197411000001107,Cardozin XL 4mg tablets (Almus Pharmaceuticals Ltd) (product)
18197411000001107,Cardozin XL 4mg tablets (Almus Pharmaceuticals Ltd)
18580611000001104,Hypovase 1mg tablets (Doncaster Pharmaceuticals Ltd) (product)
18580611000001104,Hypovase 1mg tablets (Doncaster Pharmaceuticals Ltd)
18580611000001104,Hypovase 1mg tablets (DE Pharmaceuticals)
19730511000001106,Doxazosin 4mg tablets (Medreich Plc) (product)
19730511000001106,Doxazosin 4mg tablets (Medreich Plc)
23592011000001106,Doxazosin 2mg tablets (Waymade Healthcare Plc) (product)
23592011000001106,Doxazosin 2mg tablets (Waymade Healthcare Plc)
23970811000001104,Doxazosin 4mg tablets (DE Pharmaceuticals) (product)
23970811000001104,Doxazosin 4mg tablets (DE Pharmaceuticals)
24661311000001108,Prazosin 2mg tablets (Part VIIID Drug Tariff Special Order)
24661311000001108,Prazosin 2mg tablets (Part VIIID Drug Tariff Special Order) (product)
24661311000001108,Prazosin 2mg tablets (Special Order) (product)
24661311000001108,Prazosin 2mg tablets (Special Order)
30123811000001108,Doxazosin 4mg tablets (Mawdsley-Brooks & Company Ltd) (product)
30123811000001108,Doxazosin 4mg tablets (Mawdsley-Brooks & Company Ltd)
35142211000001107,Doxazosin 4mg tablets (Milpharm Ltd)
35142211000001107,Doxazosin 4mg tablets (Milpharm Ltd) (product)
35142211000001107,Doxazosin 4mg tablets (Aurobindo Pharma Ltd) (product)
35142211000001107,Doxazosin 4mg tablets (Aurobindo Pharma Ltd)
39696511000001106,Indoramin 20mg tablets
39696511000001106,Indoramin 20mg tablets (product)
39900811000001105,Terazosin 2mg tablets (Medihealth (Northern) Ltd)
39900811000001105,Terazosin 2mg tablets (Medihealth (Northern) Ltd) (product)
16049611000001105,Doxazosin 1mg tablets (Bristol Laboratories Ltd) (product)
16049611000001105,Doxazosin 1mg tablets (Bristol Laboratories Ltd)
14341811000001102,Cardura 2mg tablets (Sigma Pharmaceuticals Plc) (product)
14341811000001102,Cardura 2mg tablets (Sigma Pharmaceuticals Plc)
13811611000001108,Doxzogen XL 4mg tablets (Viatris UK Healthcare Ltd)
13811611000001108,Doxzogen XL 4mg tablets (Viatris UK Healthcare Ltd) (product)
13811611000001108,Doxzogen XL 4mg tablets (Generics (UK) Ltd) (product)
13811611000001108,Doxzogen XL 4mg tablets (Generics (UK) Ltd)
13811611000001108,Doxzogen XL 4mg tablets (Mylan Ltd)
13811611000001108,Doxzogen XL 4mg tablets (Mylan)
13132401000001103,Doxazosin 4mg modified-release tablets (product)
13132401000001103,Doxazosin 4mg modified-release tablets
13077811000001106,Prazosin 250micrograms/5ml oral solution (product)
13077811000001106,Prazosin 250micrograms/5ml oral solution
13050211000001108,Prazosin 250micrograms/5ml oral suspension (Special Order) (product)
13050211000001108,Prazosin 250micrograms/5ml oral suspension (Special Order)
12084511000001100,Doxazosin 80mg/5ml oral solution (product)
12084511000001100,Doxazosin 80mg/5ml oral solution
12084111000001109,Doxazosin 5mg/5ml oral solution (product)
12084111000001109,Doxazosin 5mg/5ml oral solution
12083711000001108,Doxazosin 3mg/5ml oral solution (product)
12083711000001108,Doxazosin 3mg/5ml oral solution
