SnomedCTConceptId,Term
36825111000001101,Prasugrel 10mg tablets (A A H Pharmaceuticals Ltd) (product)
36825111000001101,Prasugrel 10mg tablets (A A H Pharmaceuticals Ltd)
37268211000001101,Prasugrel 5mg tablets (Genus Pharmaceuticals Ltd)
37268211000001101,Prasugrel 5mg tablets (Genus Pharmaceuticals Ltd) (product)
37398711000001100,Efient 10mg tablets (Mawdsley-Brooks & Company Ltd)
37398711000001100,Efient 10mg tablets (Mawdsley-Brooks & Company Ltd) (product)
37980211000001102,Brilique 90mg tablets (Pharmaram Ltd)
37980211000001102,Brilique 90mg tablets (Pharmaram Ltd) (product)
319769008,Dipyridamole 10mg/2mL injection
319769008,Dipyridamole 10mg/2mL injection (substance)
319769008,Dipyridamole 10mg/2mL injection (product)
319769008,Dipyridamole 5mg/mL injection solution 2mL ampule (product)
319769008,Dipyridamole 5mg/mL injection solution 2mL ampoule
319769008,Dipyridamole 5mg/mL injection solution 2mL ampule
319769008,Dipyridamole 10mg/2ml solution for injection ampoules
765111000001108,Aspirin 75mg dispersible tablets (A A H Pharmaceuticals Ltd) (product)
765111000001108,Aspirin 75mg dispersible tablets (A A H Pharmaceuticals Ltd)
844511000001107,Aspirin 75mg gastro-resistant tablets (Greenfield Pharmaceuticals) (product)
844511000001107,Aspirin 75mg gastro-resistant tablets (Greenfield Pharmaceuticals)
844511000001107,Aspirin 75mg gastro-resistant tablets (Greenfield Pharmaceuticals Ltd)
18291611000001104,Ticagrelor 90mg tablets (product)
18291611000001104,Ticagrelor 90mg tablets
20536811000001105,Boots Aspirin 75mg gastro-resistant tablets (The Boots Company Plc) (product)
20536811000001105,Boots Aspirin 75mg gastro-resistant tablets (The Boots Company Plc)
799411000001102,Aspirin 75mg gastro-resistant tablets (C P Pharmaceuticals Ltd) (product)
799411000001102,Aspirin 75mg gastro-resistant tablets (C P Pharmaceuticals Ltd)
714511000001101,Aspirin 300mg dispersible tablets (Kent Pharma (UK) Ltd)
714511000001101,Aspirin 300mg dispersible tablets (Kent Pharma (UK) Ltd) (product)
714511000001101,Aspirin 300mg dispersible tablets (Kent Pharmaceuticals Ltd) (product)
714511000001101,Aspirin 300mg dispersible tablets (Kent Pharmaceuticals Ltd)
679211000001103,Aspirin 300mg suppositories (Unichem Plc) (product)
