SnomedCTConceptId,Term
319360005,Isosorbide mononitrate+aspirin 60mg/150mg m/r tablet
319360005,Isosorbide mononitrate+aspirin 60mg/150mg m/r tablet (substance)
319360005,Isosorbide mononitrate+aspirin 60mg/150mg m/r tablet (product)
319360005,Aspirin 150mg / Isosorbide mononitrate 60mg modified-release tablets
319361009,Isosorbide mononitrate+aspirin 60mg/75mg m/r tablet
319361009,Isosorbide mononitrate+aspirin 60mg/75mg m/r tablet (substance)
319361009,Isosorbide mononitrate+aspirin 60mg/75mg m/r tablet (product)
319361009,Aspirin 75mg / Isosorbide mononitrate 60mg modified-release tablets
319773006,Aspirin 75mg dispersible tablet
319773006,Aspirin 75mg dispersible tablet (substance)
319773006,Aspirin 75mg dispersible tablet (product)
319773006,Product containing precisely aspirin 75 milligram/1 each conventional release orodispersible tablet (clinical drug)
319773006,Aspirin 75 mg orodispersible tablet
319773006,Aspirin 75mg dispersible tablets sugar free (Aspar Pharmaceuticals Ltd)
319773006,Aspirin 75mg dispersible tablets sugar free (Approved Prescription Services Ltd)
319773006,Aspirin 75mg dispersible tablets sugar free (Actavis UK Ltd)
319773006,Aspirin 75mg dispersible tablets sugar free
319773006,Aspirin 75mg dispersible tablets
319775004,Aspirin 75mg tablet
319775004,Aspirin 75mg tablet (substance)
319775004,Aspirin 75mg tablet (product)
319775004,Product containing aspirin 75 mg/1 each oral tablet (clinical drug)
319775004,Product containing aspirin 75 mg/1 each oral tablet
319775004,Aspirin 75 mg oral tablet
319775004,Product containing only aspirin 75 mg/1 each oral tablet
319775004,Product containing only aspirin 75 mg/1 each oral tablet (clinical drug)
319775004,Product containing precisely aspirin 75 milligram/1 each conventional release oral tablet
319775004,Product containing precisely aspirin 75 milligram/1 each conventional release oral tablet (clinical drug)
319775004,Aspirin 75mg tablets
319781007,Aspirin 75mg e/c tablet
319781007,Aspirin 75mg e/c tablet (substance)
319781007,Aspirin 75mg e/c tablet (product)
319781007,Product containing precisely aspirin 75 milligram/1 each gastro-resistant oral tablet (clinical drug)
319781007,Aspirin 75 mg gastro-resistant oral tablet
319781007,Product containing precisely aspirin 75 milligram/1 each gastro-resistant oral tablet
319781007,Aspirin 75mg gastro-resistant tablets
319797002,Dipyridamole+aspirin 200mg/25mg m/r capsule
319797002,Dipyridamole+aspirin 200mg/25mg m/r capsule (substance)
319797002,Dipyridamole+aspirin 200mg/25mg m/r capsule (product)
319797002,Dipyridamole 200mg modified-release / Aspirin 25mg capsules
322225002,Aspirin 300mg e/c tablet
322225002,Aspirin 300mg e/c tablet (substance)
322225002,Aspirin 300mg e/c tablet (product)
322225002,Aspirin 300 mg gastro-resistant oral tablet
322225002,Product containing precisely aspirin 300 milligram/1 each gastro-resistant oral tablet
322225002,Product containing precisely aspirin 300 milligram/1 each gastro-resistant oral tablet (clinical drug)
322225002,Aspirin 300mg gastro-resistant tablets
322232006,Aspirin 300mg suppository
322232006,Aspirin 300mg suppository (substance)
322232006,Aspirin 300mg suppository (product)
322232006,Aspirin 300mg pessary
322232006,Aspirin 300 mg rectal suppository
322232006,Product containing precisely aspirin 300 milligram/1 each conventional release rectal suppository (clinical drug)
322232006,Product containing precisely aspirin 300 milligram/1 each conventional release rectal suppository
322232006,Aspirin 300mg suppositories
322233001,Aspirin 150mg suppository
322233001,Aspirin 150mg suppository (substance)
322233001,Aspirin 150mg suppository (product)
322233001,Aspirin 150mg pessary
322233001,Product containing precisely aspirin 150 milligram/1 each conventional release rectal suppository (clinical drug)
322233001,Aspirin 150 mg rectal suppository
322233001,Product containing precisely aspirin 150 milligram/1 each conventional release rectal suppository
322233001,Aspirin 150mg suppositories
322310004,Co-codaprin 8mg/400mg dispersible tablet
322310004,Aspirin+codeine 400mg/8mg dispersible tablet
322310004,Co-codaprin 8mg/400mg dispersible tablet (substance)
322310004,Co-codaprin 8mg/400mg dispersible tablet (product)
322310004,Aspirin + codeine 400mg/8mg dispersible tablet (product)
322310004,Aspirin + codeine 400mg/8mg dispersible tablet
322310004,Co-codaprin 8mg/400mg dispersible tablets sugar free
322310004,Co-codaprin 8mg/400mg dispersible tablets
322321008,Aspirin+papaveretum 500mg/7.71mg dispersible tablet
322321008,Aspirin+papaveretum 500mg/7.71mg dispersible tablet (substance)
322321008,Aspirin+papaveretum 500mg/7.71mg dispersible tablet (product)
322321008,Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free
322784004,Aspirin+metoclopramide 900mg/10mg/sachet powder
322784004,Aspirin+metoclopramide 900mg/10mg/sachet powder (substance)
322784004,Aspirin+metoclopramide 900mg/10mg/sachet powder (product)
322784004,Product containing precisely aspirin DL-lysine 900 milligram and metoclopramide hydrochloride 10 milligram/1 sachet conventional release oral powder
322784004,Product containing precisely aspirin DL-lysine 900 milligram and metoclopramide hydrochloride 10 milligram/1 sachet conventional release oral powder (clinical drug)
322784004,Aspirin DL-lysine 900 mg and metoclopramide hydrochloride 10 mg oral powder sachet
322784004,Aspirin 900mg / Metoclopramide 10mg oral powder sachets sugar free
329525004,Aspirin 300mg tablet
329525004,Aspirin 300mg tablet (substance)
329525004,Aspirin 300mg tablet (product)
329525004,Product containing aspirin 300 mg/1 each oral tablet (clinical drug)
329525004,Product containing aspirin 300 mg/1 each oral tablet
329525004,Aspirin 300 mg oral tablet
329525004,Product containing only aspirin 300 mg/1 each oral tablet
329525004,Product containing only aspirin 300 mg/1 each oral tablet (clinical drug)
329525004,Product containing precisely aspirin 300 milligram/1 each conventional release oral tablet (clinical drug)
329525004,Product containing precisely aspirin 300 milligram/1 each conventional release oral tablet
329525004,Aspirin 300mg tablets
329526003,Aspirin 300mg dispersible tablet
329526003,Aspirin 300mg dispersible tablet (substance)
329526003,Aspirin 300mg dispersible tablet (product)
329526003,Aspirin 300mg dispersible tablets sugar free
329526003,Aspirin 300mg dispersible tablets sugar free (Actavis UK Ltd)
329526003,Aspirin 300mg dispersible tablets
33511000001106,Aspirin 75mg dispersible tablets (Approved Prescription Services) (product)
33511000001106,Aspirin 75mg dispersible tablets (Approved Prescription Services)
33511000001106,Aspirin 75mg dispersible tablets (Teva UK Ltd)
38411000001101,PostMI 75 EC tablets (Ashbourne Pharmaceuticals Ltd) (product)
38411000001101,PostMI 75 EC tablets (Ashbourne Pharmaceuticals Ltd)
50611000001102,Aspirin 75mg gastro-resistant tablets (Kent Pharma (UK) Ltd)
50611000001102,Aspirin 75mg gastro-resistant tablets (Kent Pharma (UK) Ltd) (product)
50611000001102,Aspirin 75mg gastro-resistant tablets (Kent Pharmaceuticals Ltd) (product)
50611000001102,Aspirin 75mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)
65611000001104,Aspirin 300mg gastro-resistant tablets (The Boots Company) (product)
65611000001104,Aspirin 300mg gastro-resistant tablets (The Boots Company)
65611000001104,Aspirin 300mg gastro-resistant tablets (The Boots Company Plc)
110251000001102,Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free (product)
110251000001102,Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free
111261000001109,Co-codaprin 8mg/400mg dispersible tablets (product)
111261000001109,Co-codaprin 8mg/400mg dispersible tablets
112091000001103,Aspirin 300mg dispersible tablets (product)
112091000001103,Aspirin 300mg dispersible tablets
138011000001102,Aspirin 75mg gastro-resistant tablets (A A H Pharmaceuticals Ltd) (product)
138011000001102,Aspirin 75mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
163411000001106,Aspirin 75mg dispersible tablets (IVAX Pharmaceuticals UK Ltd) (product)
163411000001106,Aspirin 75mg dispersible tablets (IVAX Pharmaceuticals UK Ltd)
173911000001105,Aspirin 75mg dispersible tablets (Kent Pharma (UK) Ltd)
173911000001105,Aspirin 75mg dispersible tablets (Kent Pharma (UK) Ltd) (product)
173911000001105,Aspirin 75mg dispersible tablets (Kent Pharmaceuticals Ltd) (product)
173911000001105,Aspirin 75mg dispersible tablets (Kent Pharmaceuticals Ltd)
183311000001101,Nu-Seals 300 gastro-resistant tablets (Alliance Pharmaceuticals Ltd) (product)
183311000001101,Nu-Seals 300 gastro-resistant tablets (Alliance Pharmaceuticals Ltd)
211011000001104,Aspirin 300mg gastro-resistant tablets (A A H Pharmaceuticals Ltd) (product)
211011000001104,Aspirin 300mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
281311000001104,Micropirin 75mg gastro-resistant tablets (Dexcel Pharma Ltd) (product)
281311000001104,Micropirin 75mg gastro-resistant tablets (Dexcel Pharma Ltd)
281311000001104,Micropirin 75mg gastro-resistant tablets (Dexcel-Pharma Ltd)
281711000001100,Aspirin 75mg gastro-resistant tablets (Alpharma Limited) (product)
281711000001100,Aspirin 75mg gastro-resistant tablets (Alpharma Limited)
281711000001100,Aspirin 75mg gastro-resistant tablets (Actavis UK Ltd)
295211000001106,Aspirin 75mg gastro-resistant tablets (Approved Prescription Services) (product)
295211000001106,Aspirin 75mg gastro-resistant tablets (Approved Prescription Services)
295211000001106,Aspirin 75mg gastro-resistant tablets (Teva UK Ltd)
307211000001105,Aspirin 75mg gastro-resistant tablets (Unichem Plc) (product)
307211000001105,Aspirin 75mg gastro-resistant tablets (Unichem Plc)
307211000001105,Aspirin 75mg gastro-resistant tablets (UniChem Ltd)
307211000001105,Aspirin 75mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)
307411000001109,Aspirin 300mg suppositories (A A H Pharmaceuticals Ltd) (product)
307411000001109,Aspirin 300mg suppositories (A A H Pharmaceuticals Ltd)
311111000001108,Aspirin 300mg tablets (Kent Pharma (UK) Ltd)
311111000001108,Aspirin 300mg tablets (Kent Pharma (UK) Ltd) (product)
311111000001108,Aspirin 300mg tablets (Kent Pharmaceuticals Ltd) (product)
311111000001108,Aspirin 300mg tablets (Kent Pharmaceuticals Ltd)
370411000001104,Aspirin 75mg gastro-resistant tablets (Sterwin Medicines) (product)
370411000001104,Aspirin 75mg gastro-resistant tablets (Sterwin Medicines)
