SnomedCTConceptId,Term
16145211000001102,Cardicor 2.5mg tablets (Lexon (UK) Ltd) (product)
16145211000001102,Cardicor 2.5mg tablets (Lexon (UK) Ltd)
16145611000001100,Cardicor 3.75mg tablets (Lexon (UK) Ltd) (product)
16145611000001100,Cardicor 3.75mg tablets (Lexon (UK) Ltd)
16145911000001106,Cardicor 7.5mg tablets (Lexon (UK) Ltd) (product)
16145911000001106,Cardicor 7.5mg tablets (Lexon (UK) Ltd)
16147011000001100,Celectol 200mg tablets (Lexon (UK) Ltd) (product)
16147011000001100,Celectol 200mg tablets (Lexon (UK) Ltd)
16147211000001105,Celectol 400mg tablets (Lexon (UK) Ltd) (product)
16147211000001105,Celectol 400mg tablets (Lexon (UK) Ltd)
16153211000001104,Corgard 80mg tablets (Lexon (UK) Ltd) (product)
16153211000001104,Corgard 80mg tablets (Lexon (UK) Ltd)
16183211000001105,Atenolol 25mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) (product)
16183211000001105,Atenolol 25mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
16202411000001101,Lopresor SR 200mg tablets (Lexon (UK) Ltd) (product)
16202411000001101,Lopresor SR 200mg tablets (Lexon (UK) Ltd)
16211611000001107,Nebilet 5mg tablets (Lexon (UK) Ltd) (product)
16211611000001107,Nebilet 5mg tablets (Lexon (UK) Ltd)
16331111000001101,Viskaldix tablets (Lexon (UK) Ltd) (product)
16331111000001101,Viskaldix tablets (Lexon (UK) Ltd)
16341911000001102,Beta-Adalat modified-release capsules (Mawdsley-Brooks & Company Ltd) (product)
16341911000001102,Beta-Adalat modified-release capsules (Mawdsley-Brooks & Company Ltd)
16357911000001107,Cardicor 1.25mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16357911000001107,Cardicor 1.25mg tablets (Mawdsley-Brooks & Company Ltd)
16358611000001102,Cardicor 2.5mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16358611000001102,Cardicor 2.5mg tablets (Mawdsley-Brooks & Company Ltd)
16359611000001106,Cardicor 3.75mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16359611000001106,Cardicor 3.75mg tablets (Mawdsley-Brooks & Company Ltd)
16360011000001103,Cardicor 7.5mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16360011000001103,Cardicor 7.5mg tablets (Mawdsley-Brooks & Company Ltd)
16458411000001107,Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets (Essential Generics Ltd) (product)
16458411000001107,Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets (Essential Generics Ltd)
16459111000001109,Celectol 200mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16459111000001109,Celectol 200mg tablets (Mawdsley-Brooks & Company Ltd)
16459311000001106,Celectol 400mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16459311000001106,Celectol 400mg tablets (Mawdsley-Brooks & Company Ltd)
16460311000001107,Generic Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets (product)
16460311000001107,Generic Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets
16460311000001107,Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets
16510111000001101,Inderal LA 160mg capsules (Mawdsley-Brooks & Company Ltd) (product)
16510111000001101,Inderal LA 160mg capsules (Mawdsley-Brooks & Company Ltd)
16510511000001105,Half Inderal LA 80mg capsules (Mawdsley-Brooks & Company Ltd) (product)
16510511000001105,Half Inderal LA 80mg capsules (Mawdsley-Brooks & Company Ltd)
16519411000001101,Corgard 80mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16519411000001101,Corgard 80mg tablets (Mawdsley-Brooks & Company Ltd)
16546111000001107,Half Inderal LA 80mg capsules (Stephar (U.K.) Ltd) (product)
16546111000001107,Half Inderal LA 80mg capsules (Stephar (U.K.) Ltd)
16551311000001103,Nebivolol 2.5mg tablets (A A H Pharmaceuticals Ltd) (product)
16551311000001103,Nebivolol 2.5mg tablets (A A H Pharmaceuticals Ltd)
16560711000001104,Nebilet 5mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16560711000001104,Nebilet 5mg tablets (Mawdsley-Brooks & Company Ltd)
16573011000001102,Eucardic 6.25mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16573011000001102,Eucardic 6.25mg tablets (Mawdsley-Brooks & Company Ltd)
16632111000001104,Metoprolol 12.5mg capsules (Special Order) (product)
16632111000001104,Metoprolol 12.5mg capsules (Special Order)
16632411000001109,Metoprolol 12.5mg capsules (product)
16632411000001109,Metoprolol 12.5mg capsules
16641911000001108,Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
16641911000001108,Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets (Alliance Healthcare (Distribution) Ltd)
16734011000001103,Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets (A A H Pharmaceuticals Ltd) (product)
16734011000001103,Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets (A A H Pharmaceuticals Ltd)
17012211000001107,Bisoprolol 1.25mg tablets (Healthcare Pharma Ltd)
17012211000001107,Bisoprolol 1.25mg tablets (Healthcare Pharma Ltd) (product)
17012211000001107,Bisoprolol 1.25mg tablets (Chanelle Medical UK Ltd) (product)
17012211000001107,Bisoprolol 1.25mg tablets (Chanelle Medical UK Ltd)
17328511000001103,Bisoprolol 2.5mg tablets (Actavis UK Ltd) (product)
17328511000001103,Bisoprolol 2.5mg tablets (Actavis UK Ltd)
17439311000001108,Sectral 400mg tablets (Mawdsley-Brooks & Company Ltd) (product)
17439311000001108,Sectral 400mg tablets (Mawdsley-Brooks & Company Ltd)
17618211000001104,Cardicor 1.25mg tablets (Necessity Supplies Ltd) (product)
17618211000001104,Cardicor 1.25mg tablets (Necessity Supplies Ltd)
17619411000001108,Cardicor 2.5mg tablets (Necessity Supplies Ltd) (product)
17619411000001108,Cardicor 2.5mg tablets (Necessity Supplies Ltd)
17620311000001100,Cardicor 3.75mg tablets (Necessity Supplies Ltd) (product)
17620311000001100,Cardicor 3.75mg tablets (Necessity Supplies Ltd)
17621411000001103,Cardicor 7.5mg tablets (Necessity Supplies Ltd) (product)
17621411000001103,Cardicor 7.5mg tablets (Necessity Supplies Ltd)
17787011000001100,Atenolol 25mg/5ml oral solution sugar free (Phoenix Healthcare Distribution Ltd) (product)
17787011000001100,Atenolol 25mg/5ml oral solution sugar free (Phoenix Healthcare Distribution Ltd)
17787911000001101,Atenolol 25mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17787911000001101,Atenolol 25mg tablets (Phoenix Healthcare Distribution Ltd)
17788311000001101,Atenolol 50mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17788311000001101,Atenolol 50mg tablets (Phoenix Healthcare Distribution Ltd)
17788511000001107,Atenolol 100mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17788511000001107,Atenolol 100mg tablets (Phoenix Healthcare Distribution Ltd)
17806811000001108,Bisoprolol 1.25mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17806811000001108,Bisoprolol 1.25mg tablets (Phoenix Healthcare Distribution Ltd)
17807211000001109,Bisoprolol 2.5mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17807211000001109,Bisoprolol 2.5mg tablets (Phoenix Healthcare Distribution Ltd)
17807611000001106,Bisoprolol 5mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17807611000001106,Bisoprolol 5mg tablets (Phoenix Healthcare Distribution Ltd)
17808111000001102,Bisoprolol 10mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17808111000001102,Bisoprolol 10mg tablets (Phoenix Healthcare Distribution Ltd)
17853311000001102,Celiprolol 200mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17853311000001102,Celiprolol 200mg tablets (Phoenix Healthcare Distribution Ltd)
17853511000001108,Celiprolol 400mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17853511000001108,Celiprolol 400mg tablets (Phoenix Healthcare Distribution Ltd)
17878311000001107,Pindolol 5mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17878311000001107,Pindolol 5mg tablets (Phoenix Healthcare Distribution Ltd)
17888911000001103,Co-tenidone 50mg/12.5mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17888911000001103,Co-tenidone 50mg/12.5mg tablets (Phoenix Healthcare Distribution Ltd)
17889111000001108,Co-tenidone 100mg/25mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17889111000001108,Co-tenidone 100mg/25mg tablets (Phoenix Healthcare Distribution Ltd)
17919311000001100,Propranolol 10mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17919311000001100,Propranolol 10mg tablets (Phoenix Healthcare Distribution Ltd)
17919711000001101,Propranolol 40mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17919711000001101,Propranolol 40mg tablets (Phoenix Healthcare Distribution Ltd)
17929411000001101,Labetalol 400mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17929411000001101,Labetalol 400mg tablets (Phoenix Healthcare Distribution Ltd)
17941511000001101,Metoprolol 100mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17941511000001101,Metoprolol 100mg tablets (Phoenix Healthcare Distribution Ltd)
17945911000001105,Nebivolol 5mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17945911000001105,Nebivolol 5mg tablets (Phoenix Healthcare Distribution Ltd)
17962611000001104,Atenolol 25mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd) (product)
17962611000001104,Atenolol 25mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd)
17962911000001105,Carvedilol 25mg tablets (Almus Pharmaceuticals Ltd) (product)
17962911000001105,Carvedilol 25mg tablets (Almus Pharmaceuticals Ltd)
18045611000001103,Acebutolol 400mg tablets (Phoenix Healthcare Distribution Ltd) (product)
18045611000001103,Acebutolol 400mg tablets (Phoenix Healthcare Distribution Ltd)
18052111000001102,Betim 10mg tablets (Lexon (UK) Ltd) (product)
18052111000001102,Betim 10mg tablets (Lexon (UK) Ltd)
18067011000001107,Sectral 400mg tablets (Lexon (UK) Ltd) (product)
18067011000001107,Sectral 400mg tablets (Lexon (UK) Ltd)
18069011000001103,Beta-Prograne 160mg modified-release capsules (Accord Healthcare Ltd)
18069011000001103,Beta-Prograne 160mg modified-release capsules (Accord Healthcare Ltd) (product)
18069011000001103,Beta-Prograne 160mg modified-release capsules (Actavis UK Ltd) (product)
18069011000001103,Beta-Prograne 160mg modified-release capsules (Actavis UK Ltd)
18069311000001100,Half Beta-Prograne 80mg modified-release capsules (Accord Healthcare Ltd)
18069311000001100,Half Beta-Prograne 80mg modified-release capsules (Accord Healthcare Ltd) (product)
18069311000001100,Half Beta-Prograne 80mg modified-release capsules (Actavis UK Ltd) (product)
18069311000001100,Half Beta-Prograne 80mg modified-release capsules (Actavis UK Ltd)
18084911000001102,Bisoprolol 3.75mg tablets (Phoenix Healthcare Distribution Ltd) (product)
18084911000001102,Bisoprolol 3.75mg tablets (Phoenix Healthcare Distribution Ltd)
18164711000001106,Celiprolol 400mg tablets (Actavis UK Ltd) (product)
18164711000001106,Celiprolol 400mg tablets (Actavis UK Ltd)
18191911000001107,Lopresor SR 200mg tablets (Mawdsley-Brooks & Company Ltd) (product)
