SnomedCTConceptId,Term
318176004,Felodipine+ramipril 2.5mg/2.5mg tablet
318176004,Felodipine+ramipril 2.5mg/2.5mg tablet (substance)
318176004,Felodipine+ramipril 2.5mg/2.5mg tablet (product)
318176004,Product containing felodipine 2.5 mg and ramipril 2.5 mg/1 each oral tablet (clinical drug)
318176004,Product containing felodipine 2.5 mg and ramipril 2.5 mg/1 each oral tablet
318176004,Felodipine 2.5 mg and ramipril 2.5 mg oral tablet
318176004,Product containing only felodipine 2.5 mg and ramipril 2.5 mg/1 each oral tablet (clinical drug)
318176004,Product containing only felodipine 2.5 mg and ramipril 2.5 mg/1 each oral tablet
318176004,Product containing precisely felodipine 2.5 milligram and ramipril 2.5 milligram/1 each conventional release oral tablet
318176004,Product containing precisely felodipine 2.5 milligram and ramipril 2.5 milligram/1 each conventional release oral tablet (clinical drug)
318176004,Felodipine 2.5mg modified-release / Ramipril 2.5mg tablets
318177008,Felodipine+ramipril 5mg/5mg tablet
318177008,Felodipine+ramipril 5mg/5mg tablet (substance)
318177008,Felodipine+ramipril 5mg/5mg tablet (product)
318177008,Product containing felodipine 5 mg and ramipril 5 mg/1 each oral tablet (clinical drug)
318177008,Product containing felodipine 5 mg and ramipril 5 mg/1 each oral tablet
318177008,Felodipine 5 mg and ramipril 5 mg oral tablet
318177008,Product containing only felodipine 5 mg and ramipril 5 mg/1 each oral tablet
318177008,Product containing only felodipine 5 mg and ramipril 5 mg/1 each oral tablet (clinical drug)
318177008,Product containing precisely felodipine 5 milligram and ramipril 5 milligram/1 each conventional release oral tablet (clinical drug)
318177008,Product containing precisely felodipine 5 milligram and ramipril 5 milligram/1 each conventional release oral tablet
318177008,Felodipine 5mg modified-release / Ramipril 5mg tablets
318204006,Verapamil hydrochloride 40mg tablet
318204006,Verapamil hydrochloride 40mg tablet (substance)
318204006,Verapamil hydrochloride 40mg tablet (product)
318204006,Product containing verapamil hydrochloride 40 mg/1 each oral tablet
318204006,Product containing verapamil hydrochloride 40 mg/1 each oral tablet (clinical drug)
318204006,Verapamil hydrochloride 40 mg oral tablet
318204006,Product containing only verapamil hydrochloride 40 mg/1 each oral tablet (clinical drug)
318204006,Product containing only verapamil hydrochloride 40 mg/1 each oral tablet
318204006,Product containing precisely verapamil hydrochloride 40 milligram/1 each conventional release oral tablet
318204006,Product containing precisely verapamil hydrochloride 40 milligram/1 each conventional release oral tablet (clinical drug)
318204006,Verapamil 40mg tablets
318205007,Verapamil hydrochloride 80mg tablet
318205007,Verapamil hydrochloride 80mg tablet (substance)
318205007,Verapamil hydrochloride 80mg tablet (product)
318205007,Product containing verapamil hydrochloride 80 mg/1 each oral tablet
318205007,Product containing verapamil hydrochloride 80 mg/1 each oral tablet (clinical drug)
318205007,Verapamil hydrochloride 80 mg oral tablet
318205007,Product containing only verapamil hydrochloride 80 mg/1 each oral tablet
318205007,Product containing only verapamil hydrochloride 80 mg/1 each oral tablet (clinical drug)
318205007,Product containing precisely verapamil hydrochloride 80 milligram/1 each conventional release oral tablet
318205007,Product containing precisely verapamil hydrochloride 80 milligram/1 each conventional release oral tablet (clinical drug)
318205007,Verapamil 80mg tablets
318206008,Verapamil hydrochloride 120mg tablet
318206008,Verapamil hydrochloride 120mg tablet (substance)
318206008,Verapamil hydrochloride 120mg tablet (product)
318206008,Product containing verapamil hydrochloride 120 mg/1 each oral tablet
318206008,Product containing verapamil hydrochloride 120 mg/1 each oral tablet (clinical drug)
318206008,Verapamil hydrochloride 120 mg oral tablet
318206008,Product containing only verapamil hydrochloride 120 mg/1 each oral tablet (clinical drug)
318206008,Product containing only verapamil hydrochloride 120 mg/1 each oral tablet
318206008,Product containing precisely verapamil hydrochloride 120 milligram/1 each conventional release oral tablet (clinical drug)
318206008,Product containing precisely verapamil hydrochloride 120 milligram/1 each conventional release oral tablet
318206008,Verapamil 120mg tablets
318213008,Verapamil hydrochloride 240mg m/r tablet
318213008,Verapamil hydrochloride 240mg m/r tablet (substance)
318213008,Verapamil hydrochloride 240mg m/r tablet (product)
318213008,Verapamil hydrochloride 240mg caplet
318213008,Verapamil 240mg modified-release tablets
318215001,Verapamil hydrochloride 120mg m/r tablet
318215001,Verapamil hydrochloride 120mg m/r tablet (substance)
318215001,Verapamil hydrochloride 120mg m/r tablet (product)
318215001,Verapamil hydrochloride 120mg caplet
318215001,Verapamil 120mg modified-release tablets
318246002,Verapamil hydrochloride 5mg/2mL injection
318246002,Verapamil hydrochloride 5mg/2mL injection (substance)
318246002,Verapamil hydrochloride 5mg/2mL injection (product)
318246002,Verapamil hydrochloride 2.5mg/mL injection solution 2mL ampule (product)
318246002,Verapamil hydrochloride 2.5mg/mL injection solution 2mL ampoule
318246002,Verapamil hydrochloride 2.5mg/mL injection solution 2mL ampule
318246002,Verapamil hydrochloride 2.5mg/mL injection solution ampoule
318246002,Verapamil hydrochloride 2.5mg/mL injection solution ampule
318246002,Verapamil 5mg/2ml solution for injection ampoules
318247006,Verapamil hydrochloride 120mg m/r capsule
318247006,Verapamil hydrochloride 120mg m/r capsule (substance)
318247006,Verapamil hydrochloride 120mg m/r capsule (product)
318247006,Verapamil 120mg modified-release capsules
318248001,Verapamil hydrochloride 160mg tablet
318248001,Verapamil hydrochloride 160mg tablet (substance)
318248001,Verapamil hydrochloride 160mg tablet (product)
318248001,Product containing verapamil hydrochloride 160 mg/1 each oral tablet
318248001,Product containing verapamil hydrochloride 160 mg/1 each oral tablet (clinical drug)
318248001,Verapamil hydrochloride 160 mg oral tablet
318248001,Product containing only verapamil hydrochloride 160 mg/1 each oral tablet
318248001,Product containing only verapamil hydrochloride 160 mg/1 each oral tablet (clinical drug)
