SnomedCTConceptId,Term
318669008,Clonidine hydrochloride 250micrograms m/r capsule
318669008,Clonidine hydrochloride 250micrograms m/r capsule (substance)
318669008,Clonidine hydrochloride 250micrograms m/r capsule (product)
318669008,Clonidine 250microgram modified-release capsules
318670009,Clonidine hydrochloride 150micrograms/1mL injection
318670009,Clonidine hydrochloride 150micrograms/1mL injection (substance)
318670009,Clonidine hydrochloride 150micrograms/1mL injection (product)
318670009,Clonidine hydrochloride 150micrograms/mL injection solution 1mL ampule (product)
318670009,Clonidine hydrochloride 150micrograms/mL injection solution 1mL ampoule
318670009,Clonidine hydrochloride 150micrograms/mL injection solution 1mL ampule
318670009,Clonidine 150micrograms/1ml solution for injection ampoules
318671008,Methyldopa 125mg tablet
318671008,Methyldopa 125mg tablet (substance)
318671008,Methyldopa 125mg tablet (product)
318671008,Product containing methyldopa 125 mg/1 each oral tablet
318671008,Product containing methyldopa 125 mg/1 each oral tablet (clinical drug)
318671008,Methyldopa 125 mg oral tablet
318671008,Product containing only methyldopa 125 mg/1 each oral tablet (clinical drug)
318671008,Product containing only methyldopa 125 mg/1 each oral tablet
318671008,Product containing precisely methyldopa 125 milligram/1 each conventional release oral tablet (clinical drug)
318671008,Product containing precisely methyldopa 125 milligram/1 each conventional release oral tablet
318671008,Methyldopa 125mg tablets
318672001,Methyldopa 250mg tablet
318672001,Methyldopa 250mg tablet (substance)
318672001,Methyldopa 250mg tablet (product)
318672001,Product containing methyldopa 250 mg/1 each oral tablet
318672001,Product containing methyldopa 250 mg/1 each oral tablet (clinical drug)
318672001,Methyldopa 250 mg oral tablet
318672001,Product containing only methyldopa 250 mg/1 each oral tablet
318672001,Product containing only methyldopa 250 mg/1 each oral tablet (clinical drug)
318672001,Product containing precisely methyldopa 250 milligram/1 each conventional release oral tablet (clinical drug)
318672001,Product containing precisely methyldopa 250 milligram/1 each conventional release oral tablet
318672001,Methyldopa 250mg tablets
318673006,Methyldopa 500mg tablet
318673006,Methyldopa 500mg tablet (substance)
318673006,Methyldopa 500mg tablet (product)
318673006,Product containing methyldopa 500 mg/1 each oral tablet
318673006,Product containing methyldopa 500 mg/1 each oral tablet (clinical drug)
318673006,Methyldopa 500 mg oral tablet
318673006,Product containing only methyldopa 500 mg/1 each oral tablet
318673006,Product containing only methyldopa 500 mg/1 each oral tablet (clinical drug)
318673006,Product containing precisely methyldopa 500 milligram/1 each conventional release oral tablet
318673006,Product containing precisely methyldopa 500 milligram/1 each conventional release oral tablet (clinical drug)
318673006,Methyldopa 500mg tablets
318707000,Moxonidine 200micrograms tablet
318707000,Moxonidine 200micrograms tablet (substance)
318707000,Moxonidine 200micrograms tablet (product)
318707000,Moxonidine 200 microgram/1 each oral tablet
318707000,Product containing moxonidine 200 microgram/1 each oral tablet
318707000,Product containing moxonidine 200 microgram/1 each oral tablet (clinical drug)
318707000,Product containing only moxonidine 200 microgram/1 each oral tablet (clinical drug)
318707000,Product containing only moxonidine 200 microgram/1 each oral tablet
318707000,Product containing precisely moxonidine 200 microgram/1 each conventional release oral tablet (clinical drug)
318707000,Moxonidine 200 microgram oral tablet
318707000,Product containing precisely moxonidine 200 microgram/1 each conventional release oral tablet
318707000,Moxonidine 200microgram tablets
318708005,Moxonidine 400micrograms tablet
318708005,Moxonidine 400micrograms tablet (substance)
318708005,Moxonidine 400micrograms tablet (product)
318708005,Moxonidine 400 microgram/1 each oral tablet
318708005,Product containing moxonidine 400 microgram/1 each oral tablet
318708005,Product containing moxonidine 400 microgram/1 each oral tablet (clinical drug)
318708005,Product containing only moxonidine 400 microgram/1 each oral tablet
318708005,Product containing only moxonidine 400 microgram/1 each oral tablet (clinical drug)
318708005,Product containing precisely moxonidine 400 microgram/1 each conventional release oral tablet (clinical drug)
318708005,Product containing precisely moxonidine 400 microgram/1 each conventional release oral tablet
318708005,Moxonidine 400 microgram oral tablet
318708005,Moxonidine 400microgram tablets
322840006,Clonidine hydrochloride 25micrograms tablet
322840006,Clonidine hydrochloride 25micrograms tablet (substance)
322840006,Clonidine hydrochloride 25micrograms tablet (product)
322840006,Clonidine hydrochloride 0.025 mg oral tablet
322840006,Product containing clonidine hydrochloride 0.025 milligram/1 each oral tablet
322840006,Product containing clonidine hydrochloride 0.025 milligram/1 each oral tablet (clinical drug)
322840006,Product containing only clonidine hydrochloride 0.025 milligram/1 each oral tablet (clinical drug)
322840006,Product containing only clonidine hydrochloride 0.025 milligram/1 each oral tablet
322840006,Product containing precisely clonidine hydrochloride 25 microgram/1 each conventional release oral tablet (clinical drug)
322840006,Product containing precisely clonidine hydrochloride 25 microgram/1 each conventional release oral tablet
