SnomedCTConceptId,Term
40729311000001108,Apixaban 5mg tablets (A A H Pharmaceuticals Ltd)
40729311000001108,Apixaban 5mg tablets (A A H Pharmaceuticals Ltd) (product)
40728711000001103,Apixaban 2.5mg tablets (A A H Pharmaceuticals Ltd)
40728711000001103,Apixaban 2.5mg tablets (A A H Pharmaceuticals Ltd) (product)
40721611000001104,Apixaban 5mg tablets (Alliance Healthcare (Distribution) Ltd)
40721611000001104,Apixaban 5mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
40721211000001101,Apixaban 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)
40721211000001101,Apixaban 2.5mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
40705011000001102,Apixaban 5mg tablets (Teva UK Ltd)
40705011000001102,Apixaban 5mg tablets (Teva UK Ltd) (product)
40704611000001108,Apixaban 2.5mg tablets (Teva UK Ltd)
40704611000001108,Apixaban 2.5mg tablets (Teva UK Ltd) (product)
703908001,Apixaban 5mg tablet (product)
703908001,Apixaban 5mg tablet
703908001,Product containing apixaban 5 mg/1 each oral tablet (clinical drug)
703908001,Product containing apixaban 5 mg/1 each oral tablet
703908001,Apixaban 5 mg oral tablet
703908001,Product containing only apixaban 5 mg/1 each oral tablet (clinical drug)
703908001,Product containing only apixaban 5 mg/1 each oral tablet
703908001,Product containing precisely apixaban 5 milligram/1 each conventional release oral tablet
703908001,Product containing precisely apixaban 5 milligram/1 each conventional release oral tablet (clinical drug)
703908001,Apixaban 5mg tablets
703907006,Apixaban 2.5mg tablet
703907006,Apixaban 2.5mg tablet (product)
703907006,Product containing apixaban 2.5 mg/1 each oral tablet (clinical drug)
703907006,Product containing apixaban 2.5 mg/1 each oral tablet
703907006,Apixaban 2.5 mg oral tablet
703907006,Product containing only apixaban 2.5 mg/1 each oral tablet (clinical drug)
703907006,Product containing only apixaban 2.5 mg/1 each oral tablet
703907006,Product containing precisely apixaban 2.5 milligram/1 each conventional release oral tablet
703907006,Product containing precisely apixaban 2.5 milligram/1 each conventional release oral tablet (clinical drug)
703907006,Apixaban 2.5mg tablets
40477811000001101,Xarelto 20mg tablets (DE Pharmaceuticals)
40477811000001101,Xarelto 20mg tablets (DE Pharmaceuticals) (product)
40477611000001100,Xarelto 15mg tablets (DE Pharmaceuticals)
40477611000001100,Xarelto 15mg tablets (DE Pharmaceuticals) (product)
40477111000001108,Xarelto 10mg tablets (DE Pharmaceuticals)
40477111000001108,Xarelto 10mg tablets (DE Pharmaceuticals) (product)
39609211000001101,Rivaroxaban 1mg/ml oral suspension sugar free
39609211000001101,Rivaroxaban 1mg/ml oral suspension sugar free (product)
39505011000001100,Xarelto 1mg/ml granules for oral suspension (Bayer Plc)
39505011000001100,Xarelto 1mg/ml granules for oral suspension (Bayer Plc) (product)
39135211000001105,Xarelto 20mg tablets (CST Pharma Ltd)
39135211000001105,Xarelto 20mg tablets (CST Pharma Ltd) (product)
38132211000001102,Eliquis 5mg tablets (DE Pharmaceuticals)
38132211000001102,Eliquis 5mg tablets (DE Pharmaceuticals) (product)
38132011000001107,Eliquis 2.5mg tablets (DE Pharmaceuticals)
38132011000001107,Eliquis 2.5mg tablets (DE Pharmaceuticals) (product)
37999011000001100,Xarelto 20mg tablets (Pharmaram Ltd)
37999011000001100,Xarelto 20mg tablets (Pharmaram Ltd) (product)
37998811000001104,Xarelto 15mg tablets (Pharmaram Ltd)
