SnomedCTConceptId,Term
21939011000001108,Co-amilofruse 5mg/40mg tablets (Waymade Healthcare Plc) (product)
21939011000001108,Co-amilofruse 5mg/40mg tablets (Waymade Healthcare Plc)
29791811000001105,Co-amilofruse 10mg/80mg tablets (Sigma Pharmaceuticals Plc) (product)
29791811000001105,Co-amilofruse 10mg/80mg tablets (Sigma Pharmaceuticals Plc)
29793811000001109,Co-amilozide 5mg/50mg tablets (Sigma Pharmaceuticals Plc) (product)
29793811000001109,Co-amilozide 5mg/50mg tablets (Sigma Pharmaceuticals Plc)
30015911000001100,Co-amilozide 2.5mg/25mg tablets (Mawdsley-Brooks & Company Ltd) (product)
30015911000001100,Co-amilozide 2.5mg/25mg tablets (Mawdsley-Brooks & Company Ltd)
30053211000001102,Eplerenone 50mg tablets (DE Pharmaceuticals) (product)
30053211000001102,Eplerenone 50mg tablets (DE Pharmaceuticals)
35651011000001107,Eplerenone 25mg tablets (Crescent Pharma Ltd) (product)
35651011000001107,Eplerenone 25mg tablets (Crescent Pharma Ltd)
36501811000001101,Eplerenone 50mg tablets (Xiromed) (product)
36501811000001101,Eplerenone 50mg tablets (Xiromed)
36911911000001100,Eplerenone 50mg tablets (HBS Healthcare Ltd) (product)
36911911000001100,Eplerenone 50mg tablets (HBS Healthcare Ltd)
37141311000001107,Spironolactone 100mg tablets (Mawdsley-Brooks & Company Ltd)
37141311000001107,Spironolactone 100mg tablets (Mawdsley-Brooks & Company Ltd) (product)
38847511000001108,Co-amilofruse 10mg/80mg tablets (Medihealth (Northern) Ltd)
38847511000001108,Co-amilofruse 10mg/80mg tablets (Medihealth (Northern) Ltd) (product)
304011000001108,Komil 5mg/40mg tablets (Goldshield Healthcare Ltd) (product)
304011000001108,Komil 5mg/40mg tablets (Goldshield Healthcare Ltd)
304011000001108,Komil 5mg/40mg tablets (Goldshield Pharmaceuticals Ltd)
304011000001108,Komil 5mg/40mg tablets (Mercury Pharma Group Ltd)
484511000001106,Co-amilozide 5mg/50mg tablets (Alpharma Limited) (product)
484511000001106,Co-amilozide 5mg/50mg tablets (Alpharma Limited)
484511000001106,Co-amilozide 5mg/50mg tablets (Actavis UK Ltd)
508011000001102,Spironolactone 25mg tablets (Unichem Plc) (product)
508011000001102,Spironolactone 25mg tablets (Unichem Plc)
508011000001102,Spironolactone 25mg tablets (UniChem Ltd)
508011000001102,Spironolactone 25mg tablets (Alliance Healthcare (Distribution) Ltd)
583811000001102,Co-amilofruse 10mg/80mg tablets (Kent Pharma (UK) Ltd)
583811000001102,Co-amilofruse 10mg/80mg tablets (Kent Pharma (UK) Ltd) (product)
583811000001102,Co-amilofruse 10mg/80mg tablets (Kent Pharmaceuticals Ltd) (product)
583811000001102,Co-amilofruse 10mg/80mg tablets (Kent Pharmaceuticals Ltd)
610611000001103,Spironolactone 100mg tablets (Approved Prescription Services) (product)
610611000001103,Spironolactone 100mg tablets (Approved Prescription Services)
610611000001103,Spironolactone 100mg tablets (Teva UK Ltd)
831011000001103,Co-amilozide 5mg/50mg tablets (IVAX Pharmaceuticals UK Ltd) (product)
831011000001103,Co-amilozide 5mg/50mg tablets (IVAX Pharmaceuticals UK Ltd)
5545811000001106,Frumil 5mg/40mg tablets (PI) (Dowelhurst Ltd) (product)
5545811000001106,Frumil 5mg/40mg tablets (PI) (Dowelhurst Ltd)
5545811000001106,Frumil 5mg/40mg tablets (Dowelhurst Ltd)
