SnomedCTConceptId,Term
319996000,Simvastatin 10mg tablet
319996000,Simvastatin 10mg tablet (substance)
319996000,Simvastatin 10mg tablet (product)
319996000,Product containing simvastatin 10 mg/1 each oral tablet
319996000,Product containing simvastatin 10 mg/1 each oral tablet (clinical drug)
319996000,Simvastatin 10 mg oral tablet
319996000,Product containing only simvastatin 10 mg/1 each oral tablet
319996000,Product containing only simvastatin 10 mg/1 each oral tablet (clinical drug)
319996000,Product containing precisely simvastatin 10 milligram/1 each conventional release oral tablet
319996000,Product containing precisely simvastatin 10 milligram/1 each conventional release oral tablet (clinical drug)
319996000,Simvastatin 10mg tablets
320012008,Pravastatin sodium 10mg tablet
320012008,Pravastatin sodium 10mg tablet (substance)
320012008,Pravastatin sodium 10mg tablet (product)
320012008,Product containing pravastatin sodium 10 mg/1 each oral tablet
320012008,Product containing pravastatin sodium 10 mg/1 each oral tablet (clinical drug)
320012008,Pravastatin sodium 10 mg oral tablet
320012008,Product containing only pravastatin sodium 10 mg/1 each oral tablet
320012008,Product containing only pravastatin sodium 10 mg/1 each oral tablet (clinical drug)
320012008,Product containing precisely pravastatin sodium 10 milligram/1 each conventional release oral tablet
320012008,Product containing precisely pravastatin sodium 10 milligram/1 each conventional release oral tablet (clinical drug)
320012008,Pravastatin 10mg tablets
320023007,Fluvastatin 40mg capsule
320023007,Fluvastatin 40mg capsule (substance)
320023007,Fluvastatin 40mg capsule (product)
320023007,Product containing fluvastatin 40 mg/1 each oral capsule (clinical drug)
320023007,Product containing fluvastatin 40 mg/1 each oral capsule
320023007,Fluvastatin 40 mg/1 each oral capsule
320023007,Product containing only fluvastatin 40 mg/1 each oral capsule (clinical drug)
320023007,Product containing only fluvastatin 40 mg/1 each oral capsule
320023007,Product containing precisely fluvastatin 40 milligram/1 each conventional release oral capsule (clinical drug)
320023007,Product containing precisely fluvastatin 40 milligram/1 each conventional release oral capsule
320023007,Fluvastatin 40 mg oral capsule
320023007,Fluvastatin 40mg capsules
320031002,Atorvastatin 40mg tablet
320031002,Atorvastatin 40mg tablet (substance)
320031002,Atorvastatin 40mg tablet (product)
320031002,Product containing atorvastatin 40 mg/1 each oral tablet (clinical drug)
320031002,Product containing atorvastatin 40 mg/1 each oral tablet
320031002,Atorvastatin 40 mg oral tablet
320031002,Product containing only atorvastatin 40 mg/1 each oral tablet
320031002,Product containing only atorvastatin 40 mg/1 each oral tablet (clinical drug)
320031002,Product containing precisely atorvastatin 40 milligram/1 each conventional release oral tablet
320031002,Product containing precisely atorvastatin 40 milligram/1 each conventional release oral tablet (clinical drug)
320031002,Atorvastatin 40mg tablets
409108001,Rosuvastatin 5mg tablet (product)
409108001,Rosuvastatin 5mg tablet
409108001,Product containing rosuvastatin 5 mg/1 each oral tablet
409108001,Product containing rosuvastatin 5 mg/1 each oral tablet (clinical drug)
409108001,Rosuvastatin 5 mg oral tablet
409108001,Product containing only rosuvastatin 5 mg/1 each oral tablet
409108001,Product containing only rosuvastatin 5 mg/1 each oral tablet (clinical drug)
409108001,Product containing precisely rosuvastatin (as rosuvastatin calcium) 5 milligram/1 each conventional release oral tablet
409108001,Rosuvastatin (as rosuvastatin calcium) 5 mg oral tablet
409108001,Product containing precisely rosuvastatin (as rosuvastatin calcium) 5 milligram/1 each conventional release oral tablet (clinical drug)
409108001,Rosuvastatin 5mg tablets
84811000001104,Lescol 20mg capsules (Novartis Pharmaceuticals UK Ltd) (product)
84811000001104,Lescol 20mg capsules (Novartis Pharmaceuticals UK Ltd)
111851000001107,Atorvastatin 40mg tablets (product)
111851000001107,Atorvastatin 40mg tablets
114431000001102,Fluvastatin 20mg capsules (product)
114431000001102,Fluvastatin 20mg capsules
454111000001107,Lipostat 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product)
454111000001107,Lipostat 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited)
454111000001107,Lipostat 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
756111000001109,Lipitor 80mg tablets (Upjohn UK Ltd)
756111000001109,Lipitor 80mg tablets (Upjohn UK Ltd) (product)
756111000001109,Lipitor 80mg tablets (Upjohn Ltd)
756111000001109,Lipitor 80mg tablets (Upjohn Ltd) (product)
756111000001109,Lipitor 80mg tablets (Viatris UK Healthcare Ltd)
756111000001109,Lipitor 80mg tablets (Viatris UK Healthcare Ltd) (product)
756111000001109,Lipitor 80mg tablets (Pfizer Ltd) (product)
756111000001109,Lipitor 80mg tablets (Pfizer Ltd)
4171011000001104,Crestor 10mg tablets (AstraZeneca) (product)
4171011000001104,Crestor 10mg tablets (AstraZeneca)
4171011000001104,Crestor 10mg tablets (AstraZeneca UK Ltd)
4437211000001100,Simvastatin 40mg tablets (Alpharma Limited) (product)
4437211000001100,Simvastatin 40mg tablets (Alpharma Limited)
4437211000001100,Simvastatin 40mg tablets (Actavis UK Ltd)
4464511000001100,Simvastatin 80mg tablets (Viatris UK Healthcare Ltd)
4464511000001100,Simvastatin 80mg tablets (Viatris UK Healthcare Ltd) (product)
4464511000001100,Simvastatin 80mg tablets (Generics (UK) Ltd) (product)
4464511000001100,Simvastatin 80mg tablets (Generics (UK) Ltd)
4464511000001100,Simvastatin 80mg tablets (Mylan Ltd)
4464511000001100,Simvastatin 80mg tablets (Mylan)
4466211000001108,Simvastatin 10mg tablets (IVAX Pharmaceuticals UK Ltd) (product)
4466211000001108,Simvastatin 10mg tablets (IVAX Pharmaceuticals UK Ltd)
4467111000001104,Simvastatin 20mg tablets (Kent Pharma (UK) Ltd)
4467111000001104,Simvastatin 20mg tablets (Kent Pharma (UK) Ltd) (product)
4467111000001104,Simvastatin 20mg tablets (Kent Pharmaceuticals Ltd) (product)
4467111000001104,Simvastatin 20mg tablets (Kent Pharmaceuticals Ltd)
4468111000001103,Simvastatin 40mg tablets (Sterwin Medicines) (product)
4468111000001103,Simvastatin 40mg tablets (Sterwin Medicines)
4574411000001101,Simvastatin 10mg tablets (Unichem Plc) (product)
4574411000001101,Simvastatin 10mg tablets (Unichem Plc)
4574411000001101,Simvastatin 10mg tablets (UniChem Ltd)
4574411000001101,Simvastatin 10mg tablets (Alliance Healthcare (Distribution) Ltd)
4578011000001101,Simvastatin 10mg tablets (A A H Pharmaceuticals Ltd) (product)
4578011000001101,Simvastatin 10mg tablets (A A H Pharmaceuticals Ltd)
4579911000001105,Simvastatin 10mg tablets (Sandoz Ltd) (product)
4579911000001105,Simvastatin 10mg tablets (Sandoz Ltd)
4896511000001103,Simvador 20mg tablets (Dexcel-Pharma Ltd)
4896511000001103,Simvador 20mg tablets (Dexcel-Pharma Ltd) (product)
4896511000001103,Simvador 20mg tablets (Discovery Pharmaceuticals) (product)
4896511000001103,Simvador 20mg tablets (Discovery Pharmaceuticals)
4896511000001103,Simvador 20mg tablets (Discovery Pharmaceuticals Ltd)
4896511000001103,Simvador 20mg tablets (Discovery Pharmaceuticals)
5381111000001109,Lipitor 10mg tablets (PI) (Waymade Ltd) (product)
5381111000001109,Lipitor 10mg tablets (PI) (Waymade Ltd)
5381111000001109,Lipitor 10mg tablets (Waymade Ltd)
5381111000001109,Lipitor 10mg tablets (Waymade Healthcare Plc)
5382811000001106,Lescol 40mg capsules (PI) (Waymade Ltd) (product)
5382811000001106,Lescol 40mg capsules (PI) (Waymade Ltd)
5382811000001106,Lescol 40mg capsules (Waymade Ltd)
5382811000001106,Lescol 40mg capsules (Waymade Healthcare Plc)
5451011000001107,Atorvastatin 20mg tablets (PI) (Dowelhurst Ltd) (product)
5451011000001107,Atorvastatin 20mg tablets (PI) (Dowelhurst Ltd)
5451011000001107,Atorvastatin 20mg tablets (Dowelhurst Ltd)
5476111000001102,Simvastatin 80mg tablets (Approved Prescription Services) (product)
5476111000001102,Simvastatin 80mg tablets (Approved Prescription Services)
5476111000001102,Simvastatin 80mg tablets (Teva UK Ltd)
5502811000001105,Pravastatin 10mg tablets (PI) (Dowelhurst Ltd) (product)
5502811000001105,Pravastatin 10mg tablets (PI) (Dowelhurst Ltd)
5502811000001105,Pravastatin 10mg tablets (Dowelhurst Ltd)
5524311000001104,Lipitor 20mg tablets (PI) (Dowelhurst Ltd) (product)
5524311000001104,Lipitor 20mg tablets (PI) (Dowelhurst Ltd)
5524311000001104,Lipitor 20mg tablets (Dowelhurst Ltd)
5603211000001106,Zocor 20mg tablets (PI) (Dowelhurst Ltd) (product)
5603211000001106,Zocor 20mg tablets (PI) (Dowelhurst Ltd)
5603211000001106,Zocor 20mg tablets (Dowelhurst Ltd)
7943611000001104,Pravastatin 40mg tablets (Approved Prescription Services) (product)
7943611000001104,Pravastatin 40mg tablets (Approved Prescription Services)
7943611000001104,Pravastatin 40mg tablets (Teva UK Ltd)
7959111000001108,Pravastatin 40mg tablets (Alpharma Limited) (product)
7959111000001108,Pravastatin 40mg tablets (Alpharma Limited)
7959111000001108,Pravastatin 40mg tablets (Actavis UK Ltd)
7976411000001108,Pravastatin 10mg tablets (A A H Pharmaceuticals Ltd) (product)
7976411000001108,Pravastatin 10mg tablets (A A H Pharmaceuticals Ltd)
7998011000001108,Pravastatin 20mg tablets (Sandoz Ltd) (product)
7998011000001108,Pravastatin 20mg tablets (Sandoz Ltd)
8027611000001108,Pravastatin 40mg tablets (Unichem Plc) (product)
8027611000001108,Pravastatin 40mg tablets (Unichem Plc)
8027611000001108,Pravastatin 40mg tablets (UniChem Ltd)
8027611000001108,Pravastatin 40mg tablets (Alliance Healthcare (Distribution) Ltd)
8103611000001100,Pravastatin 20mg tablets (Ranbaxy (UK) Ltd) (product)
8103611000001100,Pravastatin 20mg tablets (Ranbaxy (UK) Ltd)
8113311000001107,Pravastatin 40mg tablets (Viatris UK Healthcare Ltd)
8113311000001107,Pravastatin 40mg tablets (Viatris UK Healthcare Ltd) (product)
8113311000001107,Pravastatin 40mg tablets (Generics (UK) Ltd) (product)
8113311000001107,Pravastatin 40mg tablets (Generics (UK) Ltd)
8113311000001107,Pravastatin 40mg tablets (Mylan Ltd)
8113311000001107,Pravastatin 40mg tablets (Mylan)
8722111000001104,Simvastatin 20mg/5ml oral suspension (product)
8722111000001104,Simvastatin 20mg/5ml oral suspension
9805011000001104,Simvastatin 10mg tablets (Almus Pharmaceutical Ltd) (product)
9805011000001104,Simvastatin 10mg tablets (Almus Pharmaceutical Ltd)
9805011000001104,Simvastatin 10mg tablets (Almus Pharmaceuticals Ltd)
10294811000001100,Simvastatin 80mg tablets (Focus Pharmaceuticals Ltd) (product)
10294811000001100,Simvastatin 80mg tablets (Focus Pharmaceuticals Ltd)
10296911000001102,Simvastatin 10mg tablets (Relonchem Ltd) (product)
10296911000001102,Simvastatin 10mg tablets (Relonchem Ltd)
10298411000001106,Pravastatin 20mg tablets (Focus Pharmaceuticals Ltd) (product)
10298411000001106,Pravastatin 20mg tablets (Focus Pharmaceuticals Ltd)
10414411000001102,Simvastatin 80mg tablets (Arrow Generics Ltd) (product)
