SnomedCTConceptId,Term
903211000001106,Co-tenidone 50mg/12.5mg tablets (Unichem Plc) (product)
903211000001106,Co-tenidone 50mg/12.5mg tablets (Unichem Plc)
903211000001106,Co-tenidone 50mg/12.5mg tablets (UniChem Ltd)
903211000001106,Co-tenidone 50mg/12.5mg tablets (Alliance Healthcare (Distribution) Ltd)
5418711000001105,Tenoretic 100mg/25mg tablets (PI) (Waymade Ltd) (product)
5418711000001105,Tenoretic 100mg/25mg tablets (PI) (Waymade Ltd)
5418711000001105,Tenoretic 100mg/25mg tablets (Waymade Ltd)
5418711000001105,Tenoretic 100mg/25mg tablets (Waymade Healthcare Plc)
8359911000001106,Chlortalidone 50mg/5ml oral suspension (product)
8359911000001106,Chlortalidone 50mg/5ml oral suspension
10398711000001106,Co-tenidone 50mg/12.5mg tablets (Arrow Generics Ltd) (product)
10398711000001106,Co-tenidone 50mg/12.5mg tablets (Arrow Generics Ltd)
11799511000001102,Co-tenidone 100mg/25mg/5ml oral suspension (Special Order) (product)
11799511000001102,Co-tenidone 100mg/25mg/5ml oral suspension (Special Order)
12198011000001107,Coversyl Plus tablets (Waymade Healthcare Plc) (product)
12198011000001107,Coversyl Plus tablets (Waymade Healthcare Plc)
12951011000001105,Metolazone 1mg/5ml oral suspension (Special Order) (product)
12951011000001105,Metolazone 1mg/5ml oral suspension (Special Order)
12952411000001106,Metolazone 500micrograms/5ml oral suspension (Special Order) (product)
12952411000001106,Metolazone 500micrograms/5ml oral suspension (Special Order)
13005511000001105,Metolazone 1.25mg/5ml oral solution (product)
13005511000001105,Metolazone 1.25mg/5ml oral solution
13005911000001103,Metolazone 2.5mg/5ml oral solution (product)
13005911000001103,Metolazone 2.5mg/5ml oral solution
13006311000001109,Metolazone 5mg/5ml oral solution (product)
13006311000001109,Metolazone 5mg/5ml oral solution
14170611000001100,Indapamide 1.5mg modified-release tablets (Kent Pharma (UK) Ltd)
14170611000001100,Indapamide 1.5mg modified-release tablets (Kent Pharma (UK) Ltd) (product)
14170611000001100,Indapamide 1.5mg modified-release tablets (Kent Pharmaceuticals Ltd) (product)
14170611000001100,Indapamide 1.5mg modified-release tablets (Kent Pharmaceuticals Ltd)
14625811000001107,Tenoret 50 tablets (Sigma Pharmaceuticals Plc) (product)
14625811000001107,Tenoret 50 tablets (Sigma Pharmaceuticals Plc)
14625811000001107,Tenoret 50mg/12.5mg tablets (Sigma Pharmaceuticals Plc)
14784911000001103,Indapamide 2.5mg tablets (LPC Medical (UK) Ltd) (product)
14784911000001103,Indapamide 2.5mg tablets (LPC Medical (UK) Ltd)
14784911000001103,Indapamide 2.5mg tablets (Boston Healthcare Ltd)
16083211000001102,Perindopril erbumine 4mg / Indapamide 1.25mg tablets (Ratiopharm UK Ltd) (product)
16083211000001102,Perindopril erbumine 4mg / Indapamide 1.25mg tablets (Ratiopharm UK Ltd)
16559811000001108,Natrilix 2.5mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16559811000001108,Natrilix 2.5mg tablets (Mawdsley-Brooks & Company Ltd)
16641511000001101,Perindopril erbumine 4mg / Indapamide 1.25mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
16641511000001101,Perindopril erbumine 4mg / Indapamide 1.25mg tablets (Alliance Healthcare (Distribution) Ltd)
17888911000001103,Co-tenidone 50mg/12.5mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17888911000001103,Co-tenidone 50mg/12.5mg tablets (Phoenix Healthcare Distribution Ltd)
18283111000001109,Indapamide 2.5mg tablets (Co-Pharma Ltd) (product)
18283111000001109,Indapamide 2.5mg tablets (Co-Pharma Ltd)
18283111000001109,Indapamide 2.5mg tablets (Strides Shasun (UK) Ltd)
18283111000001109,Indapamide 2.5mg tablets (Strides Pharma UK Ltd)
18743311000001109,Coversyl Arginine Plus 5mg/1.25mg tablets (Sigma Pharmaceuticals Plc) (product)
18743311000001109,Coversyl Arginine Plus 5mg/1.25mg tablets (Sigma Pharmaceuticals Plc)
21924511000001102,Indapamide 2.5mg tablets (Waymade Healthcare Plc) (product)
21924511000001102,Indapamide 2.5mg tablets (Waymade Healthcare Plc)
21942311000001104,Co-tenidone 100mg/25mg tablets (Waymade Healthcare Plc) (product)
21942311000001104,Co-tenidone 100mg/25mg tablets (Waymade Healthcare Plc)
23858011000001104,Co-tenidone 100mg/25mg tablets (Doncaster Pharmaceuticals Ltd) (product)
23858011000001104,Co-tenidone 100mg/25mg tablets (Doncaster Pharmaceuticals Ltd)
23858011000001104,Co-tenidone 100mg/25mg tablets (DE Pharmaceuticals)
29799711000001103,Co-tenidone 100mg/25mg tablets (Sigma Pharmaceuticals Plc) (product)
29799711000001103,Co-tenidone 100mg/25mg tablets (Sigma Pharmaceuticals Plc)
30213911000001105,Indapamide 1.5mg modified-release tablets (Mawdsley-Brooks & Company Ltd) (product)
30213911000001105,Indapamide 1.5mg modified-release tablets (Mawdsley-Brooks & Company Ltd)
35592711000001102,Co-tenidone 100mg/25mg tablets (RX Farma) (product)
35592711000001102,Co-tenidone 100mg/25mg tablets (RX Farma)
37056211000001100,Co-tenidone 50mg/12.5mg tablets (Mawdsley-Brooks & Company Ltd)
37056211000001100,Co-tenidone 50mg/12.5mg tablets (Mawdsley-Brooks & Company Ltd) (product)
38020711000001102,Triamterene 50mg / Chlortalidone 50mg tablets (Alliance Healthcare (Distribution) Ltd)
38020711000001102,Triamterene 50mg / Chlortalidone 50mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
38858711000001100,Co-tenidone 50mg/12.5mg tablets (Medihealth (Northern) Ltd)
38858711000001100,Co-tenidone 50mg/12.5mg tablets (Medihealth (Northern) Ltd) (product)
40559411000001103,Xaqua 5mg tablets (Renascience Pharma Ltd)
40559411000001103,Xaqua 5mg tablets (Renascience Pharma Ltd) (product)
318121006,Co-amilozide 2.5mg/25mg tablet
318121006,Co-amilozide 2.5mg/25mg tablet (substance)
318121006,Co-amilozide 2.5mg/25mg tablet (product)
318121006,Amiloride + hydrochlorothiazide 2.5mg/25mg tablet (product)
318121006,Amiloride + hydrochlorothiazide 2.5mg/25mg tablet
318121006,Product containing amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral tablet (clinical drug)
318121006,Product containing amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral tablet
318121006,Amiloride 2.5 mg and hydrochlorothiazide 25 mg oral tablet
318121006,Product containing only amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral tablet (clinical drug)
318121006,Product containing only amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral tablet
318121006,Amiloride hydrochloride 2.5 mg and hydrochlorothiazide 25 mg oral tablet
318121006,Product containing precisely amiloride hydrochloride 2.5 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet (clinical drug)
318121006,Product containing precisely amiloride hydrochloride 2.5 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
318121006,Co-amilozide 2.5mg/25mg tablets
318171009,Bendrofluazide+potassium 2.5mg/8.4mmol m/r tablet
318171009,Bendrofluazide+potassium 2.5mg/8.4mmol m/r tablet (substance)
318171009,Bendrofluazide+potassium 2.5mg/8.4mmol m/r tablet (product)
318171009,Bendrofluazide+potassium 2.5mg/8.4Mmol m/r tablet (product)
318171009,Bendrofluazide+potassium 2.5mg/8.4Mmol m/r tablet
318171009,Bendroflumethiazide 2.5mg / Potassium chloride 630mg (potassium 8.4mmol) modified-release tablets
318550008,Nadolol+bendrofluazide 80mg/5mg tablet
318550008,Nadolol+bendrofluazide 80mg/5mg tablet (substance)
318550008,Nadolol+bendrofluazide 80mg/5mg tablet (product)
318550008,Bendroflumethiazide+nadolol 5mg/80mg tablet
318550008,Product containing nadolol 80 mg and bendroflumethiazide 5 mg/1 each oral tablet
318550008,Product containing nadolol 80 mg and bendroflumethiazide 5 mg/1 each oral tablet (clinical drug)
318550008,Nadolol 80 mg and bendroflumethiazide 5 mg oral tablet
318550008,Product containing only nadolol 80 mg and bendroflumethiazide 5 mg/1 each oral tablet
318550008,Product containing only nadolol 80 mg and bendroflumethiazide 5 mg/1 each oral tablet (clinical drug)
318550008,Product containing precisely bendroflumethiazide 5 milligram and nadolol 80 milligram/1 each conventional release oral tablet (clinical drug)
318550008,Bendroflumethiazide 5 mg and nadolol 80 mg oral tablet
318550008,Product containing precisely bendroflumethiazide 5 milligram and nadolol 80 milligram/1 each conventional release oral tablet
318550008,Nadolol 80mg / Bendroflumethiazide 5mg tablets
318583001,Co-prenozide 160mg/0.25mg m/r tablet
318583001,Co-prenozide 160mg/0.25mg m/r tablet (substance)
318583001,Co-prenozide 160mg/0.25mg m/r tablet (product)
318583001,Co-prenozide 160mg/250mcg m/r tablet (product)
318583001,Co-prenozide 160mg/250mcg m/r tablet
318583001,Oxprenolol+cyclopenthiazide 160mg/250mcg m/r tablet (product)
318583001,Oxprenolol+cyclopenthiazide 160mg/250mcg m/r tablet
318583001,Oxprenolol+cyclopenthiazide 160mg/0.25mg m/r tablet
318583001,Co-prenozide 160mg/0.25mg modified-release tablets
318587000,Atenolol+co-amilozide 50mg/2.5mg/25mg capsule
318587000,Atenolol+co-amilozide 50mg/2.5mg/25mg capsule (substance)
318587000,Atenolol+co-amilozide 50mg/2.5mg/25mg capsule (product)
318587000,Atenolol 50mg / co-amilozide 2.5mg/25mg capsule (product)
318587000,Atenolol 50mg / co-amilozide 2.5mg/25mg capsule
318587000,Atenolol + amiloride + hydrochlorothiazide 50mg/2.5mg/25mg capsule (product)
318587000,Atenolol + amiloride + hydrochlorothiazide 50mg/2.5mg/25mg capsule
318587000,Atenolol + co-amilozide 50mg/2.5mg/25mg capsule
318587000,Product containing atenolol 50 mg and amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral capsule (clinical drug)
318587000,Product containing atenolol 50 mg and amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral capsule
318587000,Atenolol 50 mg and amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral capsule
318587000,Product containing only atenolol 50 mg and amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral capsule
318587000,Product containing only atenolol 50 mg and amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral capsule (clinical drug)
