SnomedCTConceptId,Term
272711000001102,Warfarin 1mg tablets (IVAX Pharmaceuticals UK Ltd) (product)
272711000001102,Warfarin 1mg tablets (IVAX Pharmaceuticals UK Ltd)
772211000001101,Warfarin 3mg tablets (Kent Pharma (UK) Ltd)
772211000001101,Warfarin 3mg tablets (Kent Pharma (UK) Ltd) (product)
772211000001101,Warfarin 3mg tablets (Kent Pharmaceuticals Ltd) (product)
772211000001101,Warfarin 3mg tablets (Kent Pharmaceuticals Ltd)
642911000001101,Warfarin 5mg tablets (Accord Healthcare Ltd)
642911000001101,Warfarin 5mg tablets (Accord Healthcare Ltd) (product)
642911000001101,Warfarin 5mg tablets (Alpharma Limited) (product)
642911000001101,Warfarin 5mg tablets (Alpharma Limited)
642911000001101,Warfarin 5mg tablets (Actavis UK Ltd)
622211000001107,Warfarin 500microgram tablets (Kent Pharma (UK) Ltd)
622211000001107,Warfarin 500microgram tablets (Kent Pharma (UK) Ltd) (product)
622211000001107,Warfarin 500microgram tablets (Kent Pharmaceuticals Ltd) (product)
622211000001107,Warfarin 500microgram tablets (Kent Pharmaceuticals Ltd)
617811000001100,Warfarin 5mg tablets (Approved Prescription Services) (product)
617811000001100,Warfarin 5mg tablets (Approved Prescription Services)
617811000001100,Warfarin 5mg tablets (Teva UK Ltd)
590411000001106,Warfarin 1mg tablets (The Boots Company) (product)
590411000001106,Warfarin 1mg tablets (The Boots Company)
590411000001106,Warfarin 1mg tablets (The Boots Company Plc)
584211000001100,Warfarin 3mg tablets (Unichem Plc) (product)
584211000001100,Warfarin 3mg tablets (Unichem Plc)
584211000001100,Warfarin 3mg tablets (UniChem Ltd)
584211000001100,Warfarin 3mg tablets (Alliance Healthcare (Distribution) Ltd)
555911000001104,Warfarin 3mg tablets (Accord Healthcare Ltd)
555911000001104,Warfarin 3mg tablets (Accord Healthcare Ltd) (product)
555911000001104,Warfarin 3mg tablets (Alpharma Limited) (product)
555911000001104,Warfarin 3mg tablets (Alpharma Limited)
555911000001104,Warfarin 3mg tablets (Actavis UK Ltd)
550411000001100,Warfarin 3mg tablets (Sandoz Ltd) (product)
550411000001100,Warfarin 3mg tablets (Sandoz Ltd)
524811000001109,Warfarin 1mg tablets (Kent Pharma (UK) Ltd)
524811000001109,Warfarin 1mg tablets (Kent Pharma (UK) Ltd) (product)
524811000001109,Warfarin 1mg tablets (Kent Pharmaceuticals Ltd) (product)
524811000001109,Warfarin 1mg tablets (Kent Pharmaceuticals Ltd)
508311000001104,Warfarin 3mg tablets (Approved Prescription Services) (product)
508311000001104,Warfarin 3mg tablets (Approved Prescription Services)
508311000001104,Warfarin 3mg tablets (Teva UK Ltd)
504911000001105,Warfarin 5mg tablets (The Boots Company) (product)
504911000001105,Warfarin 5mg tablets (The Boots Company)
504911000001105,Warfarin 5mg tablets (The Boots Company Plc)
473111000001108,Warfarin 3mg tablets (The Boots Company) (product)
473111000001108,Warfarin 3mg tablets (The Boots Company)
473111000001108,Warfarin 3mg tablets (The Boots Company Plc)
461911000001100,Marevan 5mg tablets (Goldshield Healthcare Ltd) (product)
461911000001100,Marevan 5mg tablets (Goldshield Healthcare Ltd)
461911000001100,Marevan 5mg tablets (Goldshield Pharmaceuticals Ltd)
461911000001100,Marevan 5mg tablets (Mercury Pharma Group Ltd)
461911000001100,Marevan 5mg tablets (AMCo)
461911000001100,Marevan 5mg tablets (Advanz Pharma)
456711000001104,Warfarin 3mg tablets (A A H Pharmaceuticals Ltd) (product)
456711000001104,Warfarin 3mg tablets (A A H Pharmaceuticals Ltd)
437711000001102,Warfarin 1mg tablets (Approved Prescription Services) (product)
437711000001102,Warfarin 1mg tablets (Approved Prescription Services)
437711000001102,Warfarin 1mg tablets (Teva UK Ltd)
421411000001103,Warfarin 1mg tablets (A A H Pharmaceuticals Ltd) (product)
421411000001103,Warfarin 1mg tablets (A A H Pharmaceuticals Ltd)
395111000001106,Warfarin 500microgram tablets (Unichem Plc) (product)
395111000001106,Warfarin 500microgram tablets (Unichem Plc)
395111000001106,Warfarin 500microgram tablets (UniChem Ltd)
395111000001106,Warfarin 500microgram tablets (Alliance Healthcare (Distribution) Ltd)
347911000001109,Warfarin 3mg tablets (Viatris UK Healthcare Ltd)
347911000001109,Warfarin 3mg tablets (Viatris UK Healthcare Ltd) (product)
347911000001109,Warfarin 3mg tablets (Generics (UK) Ltd) (product)
347911000001109,Warfarin 3mg tablets (Generics (UK) Ltd)
347911000001109,Warfarin 3mg tablets (Mylan Ltd)
347911000001109,Warfarin 3mg tablets (Mylan)
321511000001106,Warfarin 1mg tablets (Sandoz Ltd) (product)
321511000001106,Warfarin 1mg tablets (Sandoz Ltd)
303111000001107,Warfarin 1mg tablets (Accord Healthcare Ltd)
303111000001107,Warfarin 1mg tablets (Accord Healthcare Ltd) (product)
303111000001107,Warfarin 1mg tablets (Alpharma Limited) (product)
303111000001107,Warfarin 1mg tablets (Alpharma Limited)
303111000001107,Warfarin 1mg tablets (Actavis UK Ltd)
284011000001104,Marevan 3mg tablets (Goldshield Healthcare Ltd) (product)
284011000001104,Marevan 3mg tablets (Goldshield Healthcare Ltd)
284011000001104,Marevan 3mg tablets (Goldshield Pharmaceuticals Ltd)
284011000001104,Marevan 3mg tablets (Mercury Pharma Group Ltd)
284011000001104,Marevan 3mg tablets (AMCo)
284011000001104,Marevan 3mg tablets (Advanz Pharma)
204811000001109,Marevan 500microgram tablets (Goldshield Healthcare Ltd) (product)
204811000001109,Marevan 500microgram tablets (Goldshield Healthcare Ltd)
204811000001109,Marevan 500microgram tablets (Goldshield Pharmaceuticals Ltd)
204811000001109,Marevan 500microgram tablets (Mercury Pharma Group Ltd)
204811000001109,Marevan 500microgram tablets (AMCo)
204811000001109,Marevan 500microgram tablets (Advanz Pharma)
36911000001105,Warfarin 5mg tablets (Kent Pharma (UK) Ltd)
36911000001105,Warfarin 5mg tablets (Kent Pharma (UK) Ltd) (product)
36911000001105,Warfarin 5mg tablets (Kent Pharmaceuticals Ltd) (product)
36911000001105,Warfarin 5mg tablets (Kent Pharmaceuticals Ltd)
375374009,Warfarin sodium 4mg tablet (product)
375374009,Warfarin sodium 4mg tablet
375374009,Product containing warfarin sodium 4 mg/1 each oral tablet
375374009,Product containing warfarin sodium 4 mg/1 each oral tablet (clinical drug)
375374009,Warfarin sodium 4 mg oral tablet
375374009,Product containing only warfarin sodium 4 mg/1 each oral tablet (clinical drug)
375374009,Product containing only warfarin sodium 4 mg/1 each oral tablet
375374009,Product containing precisely warfarin sodium 4 milligram/1 each conventional release oral tablet
375374009,Product containing precisely warfarin sodium 4 milligram/1 each conventional release oral tablet (clinical drug)
375374009,Warfarin 4mg tablets
319736008,Warfarin sodium 0.5mg tablet
319736008,Warfarin sodium 0.5mg tablet (substance)
319736008,Warfarin sodium 0.5mg tablet (product)
319736008,Product containing warfarin sodium 0.5 mg/1 each oral tablet
319736008,Product containing warfarin sodium 0.5 mg/1 each oral tablet (clinical drug)
319736008,Warfarin sodium 0.5 mg oral tablet
319736008,Product containing only warfarin sodium 0.5 mg/1 each oral tablet
319736008,Product containing only warfarin sodium 0.5 mg/1 each oral tablet (clinical drug)
319736008,Product containing precisely warfarin sodium 500 microgram/1 each conventional release oral tablet (clinical drug)
319736008,Product containing precisely warfarin sodium 500 microgram/1 each conventional release oral tablet
319736008,Warfarin sodium 500 microgram oral tablet
319736008,Warfarin 500microgram tablets
319735007,Warfarin sodium 5mg tablet
319735007,Warfarin sodium 5mg tablet (substance)
319735007,Warfarin sodium 5mg tablet (product)
319735007,Product containing warfarin sodium 5 mg/1 each oral tablet
319735007,Product containing warfarin sodium 5 mg/1 each oral tablet (clinical drug)
319735007,Warfarin sodium 5 mg oral tablet
319735007,Product containing only warfarin sodium 5 mg/1 each oral tablet
319735007,Product containing only warfarin sodium 5 mg/1 each oral tablet (clinical drug)
319735007,Product containing precisely warfarin sodium 5 milligram/1 each conventional release oral tablet (clinical drug)
319735007,Product containing precisely warfarin sodium 5 milligram/1 each conventional release oral tablet
319735007,Warfarin 5mg tablets
319734006,Warfarin sodium 3mg tablet
319734006,Warfarin sodium 3mg tablet (substance)
319734006,Warfarin sodium 3mg tablet (product)
319734006,Product containing warfarin sodium 3 mg/1 each oral tablet
319734006,Product containing warfarin sodium 3 mg/1 each oral tablet (clinical drug)
319734006,Warfarin sodium 3 mg oral tablet
319734006,Product containing only warfarin sodium 3 mg/1 each oral tablet (clinical drug)
319734006,Product containing only warfarin sodium 3 mg/1 each oral tablet
319734006,Product containing precisely warfarin sodium 3 milligram/1 each conventional release oral tablet (clinical drug)
319734006,Product containing precisely warfarin sodium 3 milligram/1 each conventional release oral tablet
319734006,Warfarin 3mg tablets
319733000,Warfarin sodium 1mg tablet
319733000,Warfarin sodium 1mg tablet (substance)
319733000,Warfarin sodium 1mg tablet (product)
319733000,Product containing warfarin sodium 1 mg/1 each oral tablet
319733000,Product containing warfarin sodium 1 mg/1 each oral tablet (clinical drug)
319733000,Warfarin sodium 1 mg oral tablet
319733000,Product containing only warfarin sodium 1 mg/1 each oral tablet (clinical drug)
319733000,Product containing only warfarin sodium 1 mg/1 each oral tablet
319733000,Product containing precisely warfarin sodium 1 milligram/1 each conventional release oral tablet
319733000,Product containing precisely warfarin sodium 1 milligram/1 each conventional release oral tablet (clinical drug)
319733000,Warfarin 1mg tablets
39905911000001109,Warfarin 1mg tablets (Medihealth (Northern) Ltd)
39905911000001109,Warfarin 1mg tablets (Medihealth (Northern) Ltd) (product)
39905711000001107,Warfarin 3mg tablets (Medihealth (Northern) Ltd)
39905711000001107,Warfarin 3mg tablets (Medihealth (Northern) Ltd) (product)
39905511000001102,Warfarin 500microgram tablets (Medihealth (Northern) Ltd)
39905511000001102,Warfarin 500microgram tablets (Medihealth (Northern) Ltd) (product)
39905311000001108,Warfarin 5mg tablets (Medihealth (Northern) Ltd)
39905311000001108,Warfarin 5mg tablets (Medihealth (Northern) Ltd) (product)
37272811000001105,Warfarin 500microgram tablets (Mawdsley-Brooks & Company Ltd)
37272811000001105,Warfarin 500microgram tablets (Mawdsley-Brooks & Company Ltd) (product)
36844311000001100,Warfarin 5mg tablets (Torrent Pharma (UK) Ltd) (product)
36844311000001100,Warfarin 5mg tablets (Torrent Pharma (UK) Ltd)
36844011000001103,Warfarin 3mg tablets (Torrent Pharma (UK) Ltd) (product)
36844011000001103,Warfarin 3mg tablets (Torrent Pharma (UK) Ltd)
36843011000001100,Warfarin 1mg tablets (Torrent Pharma (UK) Ltd) (product)
36843011000001100,Warfarin 1mg tablets (Torrent Pharma (UK) Ltd)
22736911000001105,Warfarin 1mg/ml oral suspension sugar free (Doncaster Pharmaceuticals Ltd) (product)
22736911000001105,Warfarin 1mg/ml oral suspension sugar free (Doncaster Pharmaceuticals Ltd)
22736911000001105,Warfarin 1mg/ml oral suspension sugar free (DE Pharmaceuticals)
22736711000001108,Warfarin 500microgram tablets (Doncaster Pharmaceuticals Ltd) (product)
22736711000001108,Warfarin 500microgram tablets (Doncaster Pharmaceuticals Ltd)
22736711000001108,Warfarin 500microgram tablets (DE Pharmaceuticals)
22736411000001102,Warfarin 5mg tablets (Doncaster Pharmaceuticals Ltd) (product)
22736411000001102,Warfarin 5mg tablets (Doncaster Pharmaceuticals Ltd)
22736411000001102,Warfarin 5mg tablets (DE Pharmaceuticals)
22735611000001109,Warfarin 3mg tablets (Doncaster Pharmaceuticals Ltd) (product)
22735611000001109,Warfarin 3mg tablets (Doncaster Pharmaceuticals Ltd)
22735611000001109,Warfarin 3mg tablets (DE Pharmaceuticals)
22735311000001104,Warfarin 1mg tablets (Doncaster Pharmaceuticals Ltd) (product)
22735311000001104,Warfarin 1mg tablets (Doncaster Pharmaceuticals Ltd)
22735311000001104,Warfarin 1mg tablets (DE Pharmaceuticals)
21920111000001102,Warfarin 5mg tablets (Waymade Healthcare Plc) (product)
21920111000001102,Warfarin 5mg tablets (Waymade Healthcare Plc)
21919811000001105,Warfarin 3mg tablets (Waymade Healthcare Plc) (product)
21919811000001105,Warfarin 3mg tablets (Waymade Healthcare Plc)
21919511000001107,Warfarin 1mg tablets (Waymade Healthcare Plc) (product)
21919511000001107,Warfarin 1mg tablets (Waymade Healthcare Plc)
21919311000001101,Warfarin 500microgram tablets (Waymade Healthcare Plc) (product)
21919311000001101,Warfarin 500microgram tablets (Waymade Healthcare Plc)
21919111000001103,Warfarin 1mg/ml oral suspension sugar free (Waymade Healthcare Plc) (product)
21919111000001103,Warfarin 1mg/ml oral suspension sugar free (Waymade Healthcare Plc)
19835811000001100,Warfarin 5mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd) (product)
19835811000001100,Warfarin 5mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)
19835611000001104,Warfarin 3mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd) (product)
19835611000001104,Warfarin 3mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)
19835411000001102,Warfarin 1mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd) (product)
19835411000001102,Warfarin 1mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)
18723611000001101,Warfarin 1mg/ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd) (product)
18723611000001101,Warfarin 1mg/ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)
18509011000001102,Coumadin 4mg tablets (Imported (Canada)) (product)
18509011000001102,Coumadin 4mg tablets (Imported (Canada))
18290011000001102,Warfarin 1mg/ml oral suspension sugar free (product)
18290011000001102,Warfarin 1mg/ml oral suspension sugar free
18288311000001103,Warfarin 1mg/ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd) (product)
18288311000001103,Warfarin 1mg/ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)
17877111000001109,Warfarin 5mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17877111000001109,Warfarin 5mg tablets (Phoenix Healthcare Distribution Ltd)
17876911000001109,Warfarin 3mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17876911000001109,Warfarin 3mg tablets (Phoenix Healthcare Distribution Ltd)
17876711000001107,Warfarin 1mg tablets (Phoenix Healthcare Distribution Ltd) (product)
17876711000001107,Warfarin 1mg tablets (Phoenix Healthcare Distribution Ltd)
17876511000001102,Warfarin 500microgram tablets (Phoenix Healthcare Distribution Ltd) (product)
17876511000001102,Warfarin 500microgram tablets (Phoenix Healthcare Distribution Ltd)
16071611000001108,Warfarin 5mg tablets (Bristol Laboratories Ltd) (product)
16071611000001108,Warfarin 5mg tablets (Bristol Laboratories Ltd)
16071411000001105,Warfarin 3mg tablets (Bristol Laboratories Ltd) (product)
16071411000001105,Warfarin 3mg tablets (Bristol Laboratories Ltd)
16071211000001106,Warfarin 1mg tablets (Bristol Laboratories Ltd) (product)
16071211000001106,Warfarin 1mg tablets (Bristol Laboratories Ltd)
15202611000001100,Warfarin 500microgram tablets (Sigma Pharmaceuticals Plc) (product)
15202611000001100,Warfarin 500microgram tablets (Sigma Pharmaceuticals Plc)
13017211000001102,Warfarin 500micrograms/5ml oral solution (product)
13017211000001102,Warfarin 500micrograms/5ml oral solution
13017111000001108,Warfarin 4mg/5ml oral solution (product)
13017111000001108,Warfarin 4mg/5ml oral solution
13017011000001107,Warfarin 4.16mg/5ml oral solution (product)
13017011000001107,Warfarin 4.16mg/5ml oral solution
13016911000001108,Warfarin 25mg/5ml oral solution (product)
13016911000001108,Warfarin 25mg/5ml oral solution
13016811000001103,Warfarin 2.5mg/5ml oral solution (product)
13016811000001103,Warfarin 2.5mg/5ml oral solution
13016711000001106,Warfarin 100micrograms/5ml oral solution (product)
13016711000001106,Warfarin 100micrograms/5ml oral solution
13016611000001102,Warfarin 1.5mg/5ml oral solution (product)
13016611000001102,Warfarin 1.5mg/5ml oral solution
12961311000001103,Warfarin 500micrograms/5ml oral solution (Special Order) (product)
12961311000001103,Warfarin 500micrograms/5ml oral solution (Special Order)
12960011000001105,Warfarin 4mg/5ml oral solution (Special Order) (product)
12960011000001105,Warfarin 4mg/5ml oral solution (Special Order)
12959411000001100,Warfarin 4.16mg/5ml oral solution (Special Order) (product)
12959411000001100,Warfarin 4.16mg/5ml oral solution (Special Order)
12959011000001109,Warfarin 25mg/5ml oral solution (Special Order) (product)
12959011000001109,Warfarin 25mg/5ml oral solution (Special Order)
12958511000001107,Warfarin 2.5mg/5ml oral solution (Special Order) (product)
12958511000001107,Warfarin 2.5mg/5ml oral solution (Special Order)
12958011000001104,Warfarin 100micrograms/5ml oral solution (Special Order) (product)
12958011000001104,Warfarin 100micrograms/5ml oral solution (Special Order)
12957311000001102,Warfarin 1.5mg/5ml oral solution (Special Order) (product)
12957311000001102,Warfarin 1.5mg/5ml oral solution (Special Order)
10733911000001106,Warfarin 500microgram tablets (Zentiva Pharma UK Ltd)
10733911000001106,Warfarin 500microgram tablets (Zentiva Pharma UK Ltd) (product)
10733911000001106,Warfarin 500microgram tablets (Winthrop Pharmaceuticals UK Ltd) (product)
10733911000001106,Warfarin 500microgram tablets (Winthrop Pharmaceuticals UK Ltd)
10733911000001106,Warfarin 500microgram tablets (Zentiva)
933311000001105,Marevan 1mg tablets (Goldshield Healthcare Ltd) (product)
933311000001105,Marevan 1mg tablets (Goldshield Healthcare Ltd)
933311000001105,Marevan 1mg tablets (Goldshield Pharmaceuticals Ltd)
933311000001105,Marevan 1mg tablets (Mercury Pharma Group Ltd)
933311000001105,Marevan 1mg tablets (AMCo)
933311000001105,Marevan 1mg tablets (Advanz Pharma)
927211000001109,Warfarin 3mg tablets (IVAX Pharmaceuticals UK Ltd) (product)
927211000001109,Warfarin 3mg tablets (IVAX Pharmaceuticals UK Ltd)
919811000001107,Warfarin 5mg tablets (Sandoz Ltd) (product)
919811000001107,Warfarin 5mg tablets (Sandoz Ltd)
883011000001107,Warfarin 5mg tablets (Unichem Plc) (product)
883011000001107,Warfarin 5mg tablets (Unichem Plc)
883011000001107,Warfarin 5mg tablets (UniChem Ltd)
883011000001107,Warfarin 5mg tablets (Alliance Healthcare (Distribution) Ltd)
751611000001108,Warfarin 5mg tablets (A A H Pharmaceuticals Ltd) (product)
751611000001108,Warfarin 5mg tablets (A A H Pharmaceuticals Ltd)
746411000001102,Warfarin 1mg tablets (Viatris UK Healthcare Ltd)
746411000001102,Warfarin 1mg tablets (Viatris UK Healthcare Ltd) (product)
746411000001102,Warfarin 1mg tablets (Generics (UK) Ltd) (product)
746411000001102,Warfarin 1mg tablets (Generics (UK) Ltd)
746411000001102,Warfarin 1mg tablets (Mylan Ltd)
746411000001102,Warfarin 1mg tablets (Mylan)
739511000001109,Warfarin 1mg tablets (Unichem Plc) (product)
739511000001109,Warfarin 1mg tablets (Unichem Plc)
739511000001109,Warfarin 1mg tablets (UniChem Ltd)
739511000001109,Warfarin 1mg tablets (Alliance Healthcare (Distribution) Ltd)
729811000001109,Warfarin 5mg tablets (IVAX Pharmaceuticals UK Ltd) (product)
729811000001109,Warfarin 5mg tablets (IVAX Pharmaceuticals UK Ltd)
727111000001108,Warfarin 5mg tablets (Viatris UK Healthcare Ltd)
727111000001108,Warfarin 5mg tablets (Viatris UK Healthcare Ltd) (product)
727111000001108,Warfarin 5mg tablets (Generics (UK) Ltd) (product)
727111000001108,Warfarin 5mg tablets (Generics (UK) Ltd)
727111000001108,Warfarin 5mg tablets (Mylan Ltd)
727111000001108,Warfarin 5mg tablets (Mylan)
34760611000001103,Warfarin 5mg tablets (Sun Pharmaceuticals UK Ltd) (product)
34760611000001103,Warfarin 5mg tablets (Sun Pharmaceuticals UK Ltd)
34760611000001103,Warfarin 5mg tablets (Sun Pharmaceutical Industries Europe B.V.)
34760411000001101,Warfarin 3mg tablets (Sun Pharmaceuticals UK Ltd) (product)
34760411000001101,Warfarin 3mg tablets (Sun Pharmaceuticals UK Ltd)
34760411000001101,Warfarin 3mg tablets (Sun Pharmaceutical Industries Europe B.V.)
34760111000001106,Warfarin 1mg tablets (Sun Pharmaceuticals UK Ltd) (product)
34760111000001106,Warfarin 1mg tablets (Sun Pharmaceuticals UK Ltd)
34760111000001106,Warfarin 1mg tablets (Sun Pharmaceutical Industries Europe B.V.)
32751311000001101,Warfarin 5mg capsules (product)
32751311000001101,Warfarin 5mg capsules
32751211000001109,Warfarin 3mg capsules (product)
32751211000001109,Warfarin 3mg capsules
32751111000001103,Warfarin 1mg capsules (product)
32751111000001103,Warfarin 1mg capsules
32742511000001102,Warfarin 1mg capsules (Special Order) (product)
32742511000001102,Warfarin 1mg capsules (Special Order)
32742211000001100,Warfarin 3mg capsules (Special Order) (product)
32742211000001100,Warfarin 3mg capsules (Special Order)
32741911000001103,Warfarin 5mg capsules (Special Order) (product)
32741911000001103,Warfarin 5mg capsules (Special Order)
30945711000001103,Warfarin 5mg tablets (Mawdsley-Brooks & Company Ltd) (product)
30945711000001103,Warfarin 5mg tablets (Mawdsley-Brooks & Company Ltd)
30945411000001109,Warfarin 3mg tablets (Mawdsley-Brooks & Company Ltd) (product)
30945411000001109,Warfarin 3mg tablets (Mawdsley-Brooks & Company Ltd)
30945211000001105,Warfarin 1mg tablets (Mawdsley-Brooks & Company Ltd) (product)
30945211000001105,Warfarin 1mg tablets (Mawdsley-Brooks & Company Ltd)
28989311000001107,Warfarin 5mg tablets (Crescent Pharma Ltd) (product)
28989311000001107,Warfarin 5mg tablets (Crescent Pharma Ltd)
28989111000001105,Warfarin 3mg tablets (Crescent Pharma Ltd) (product)
28989111000001105,Warfarin 3mg tablets (Crescent Pharma Ltd)
28988911000001100,Warfarin 1mg tablets (Crescent Pharma Ltd) (product)
28988911000001100,Warfarin 1mg tablets (Crescent Pharma Ltd)
20538311000001102,Warfarin 500microgram tablets (Mercury Pharma Group Ltd) (product)
20538311000001102,Warfarin 500microgram tablets (Mercury Pharma Group Ltd)
20538311000001102,Warfarin 500microgram tablets (AMCo)
20538311000001102,Warfarin 500microgram tablets (Advanz Pharma)
20367411000001100,Warfarin 1mg/ml oral suspension sugar free (A A H Pharmaceuticals Ltd) (product)
20367411000001100,Warfarin 1mg/ml oral suspension sugar free (A A H Pharmaceuticals Ltd)
10418611000001109,Warfarin 5mg tablets (Arrow Generics Ltd) (product)
10418611000001109,Warfarin 5mg tablets (Arrow Generics Ltd)
10418411000001106,Warfarin 3mg tablets (Arrow Generics Ltd) (product)
10418411000001106,Warfarin 3mg tablets (Arrow Generics Ltd)
10418211000001107,Warfarin 1mg tablets (Arrow Generics Ltd) (product)
10418211000001107,Warfarin 1mg tablets (Arrow Generics Ltd)
10417011000001103,Warfarin 500microgram tablets (Arrow Generics Ltd) (product)
10417011000001103,Warfarin 500microgram tablets (Arrow Generics Ltd)
10305211000001109,Warfarin 500microgram tablets (Accord Healthcare Ltd)
10305211000001109,Warfarin 500microgram tablets (Accord Healthcare Ltd) (product)
10305211000001109,Warfarin 500microgram tablets (Alpharma Ltd) (product)
10305211000001109,Warfarin 500microgram tablets (Alpharma Ltd)
10305211000001109,Warfarin 500microgram tablets (Actavis UK Ltd)
8798811000001103,Warfarin 5mg/5ml oral suspension (product)
8798811000001103,Warfarin 5mg/5ml oral suspension
8798711000001106,Warfarin 5mg/5ml oral solution (product)
8798711000001106,Warfarin 5mg/5ml oral solution
8798611000001102,Warfarin 3mg/5ml oral suspension (product)
8798611000001102,Warfarin 3mg/5ml oral suspension
8798511000001101,Warfarin 3mg/5ml oral solution (product)
8798511000001101,Warfarin 3mg/5ml oral solution
8798411000001100,Warfarin 2mg/5ml oral suspension (product)
8798411000001100,Warfarin 2mg/5ml oral suspension
8798311000001107,Warfarin 2mg/5ml oral solution (product)
8798311000001107,Warfarin 2mg/5ml oral solution
8798211000001104,Warfarin 1mg/5ml oral suspension (product)
8798211000001104,Warfarin 1mg/5ml oral suspension
8798111000001105,Warfarin 1mg/5ml oral solution (product)
8798111000001105,Warfarin 1mg/5ml oral solution
